review,rating
"kameranya bekerja dengan baik, kalau untuk unitnya saya sangat-sangat puas, seller recomended, cuma yang agak kecewa pengirimannya aja, lama sekali, 12 hari, kalau kurir nya hubungi saya dahulu sebelum sampai, juga sangat-sangat ramah dan baik sekali, trima kasih lazada, good job untuk seller",5
pesanan sudah diterima sesuai apa yang dipesan real pict pokoknya..... belum dicoba Semoga nggak ada kendala,5
"barang dah nympe, tapi belum d coba. pengiriman lama mungkin jarak yang memisahkan terlalu jauh. semoga barang sesuai harapan",5
"Work well. Jika unitmu tidak bisa terdeteksi, pastikan sd card mu terformat fat32 dan di reset dengan menekan tombol pada lubang kecil antara tulisan L dan M. Lakukan hal tersebut saat terkoneksi dengan listrik. Tengkyu",4
"Sangat puas, saya sudah dua kali beli di sini dan sesuai spesifikasi saran bagi pembeli yang lain gunakan mikro SD yang cukup mendukung Full HD agar hasil vidio dapat terekam dengan baik (Gunakan mikro SD U3). ",5
"maaf, belum di coba",1
"Udah di terima tp blm di coba, mudah mudahan sesusi dgn harapan ",4
"hasil rekaman kok ngga ada gambarnya gan ?
cuma ada suara nya doang",5
barang nya bagus blom dicoba,5
Berpungsi,5
