review,rating
"maaf baru ngasih ulasan...
barang.nya udah sampai dan sesuai pesanan
pokok.nya siiipppp mantulll....",5
"packing nya rapi,,kualitas barang sesuai harga,mf blm bsa ngasih bintang 5 soalnya kameranya rada burem,mksh seller smg tambah sukses..",5
"mohon maaf  sebelumnya barang dah lama sampai tp lupa mengecek isinya tp pas saya cek semuanya kedudukannya banyak yg kurang
",5
فيلم المعلم النهارده,4
barangnya kurang lengkap jadi gak bisa di pasang di helm,3
barangnya mantabbb dech pokonya,5
"Barang sudah saya terima dgn baik n rapi, cuma sampai skrg belum saya coba.
Semoga baik sesuai harapan.
Klw bisa tolong kirim lg tonsisnya, biar klop.",5
"Paket sudah di terima sesuai pesanan dan normal digunakan ,,terima kasih
buat yg mau beli
ini masih format avi ya gak bisa liat langsung di hp
dan non wifi..
",5
"yahhh...baru dtng langsung tak cas....ehh malah ga hidup""...biarin lah barang SDH di pesen mau diapain...",5
buram,2
"pengiriman cepat sangat puas, untuk kondisi barang sampai  dengan aman dan selamat tapi kamera yg dikirim tdk ada wifi, diketerangan ada wifi mohon dikoreksi kembali tq 🙏",5
"barang sampai kemarin,,kurir ramah
kualitas barang sesuai harga ,pengiriman  6 hari,,",5
pesanan dah datang...akhirny bs d gunakan setelah d otak atik lama,5
"barang sudah sampai dan sangat bagus dan sesuai sama deskripsi yang tertera
",5
ini Koo ad yg kurang shh kata tdi lengkap gmn ini boss,1
"barang sdh sampai,, alhamdulillah kualitas sesuai dgn harga,, terimakasih",5
batre cpt hbis,5
trims lazada..barang ok ,5
"paket sudah sampai,pengiriman cepat.barang sesuai harga",5
"mantap bos,kurirnya ramah oke makasih

",5
cm gk ada buku petunjuk doang,5
keren lahh sesuai di gambar,5
Barang datang sangat mulus tapi sayangnya tidak ada flash dan 4K hanya bisa 15FPS Tapi barangnya masih bagus :),4
baru nyampe,5
kamera rusakk kok dijuallll . kecewa bangetttt 😠😠😠😠😠😠😠😠😠😠😠 tutup aja toko nyaa 😠😠😠😠,1
bintang berbicara,5
kamera bagus nympe dengan aman,5
"mantap bos brang gak mengecewakan 


",5
mantap barang datang lebih cepett...👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
sesuai pesanan top gan 👍,5
"trima kasih,barang sudah di terima dgn baik.😁😁😁😁",5
"Packing rapih barang bagus tidak ada yang rusak, kurrir ramah mantap pokoknya",5
"mantap gan....barang sudah di terima dan gak mengecewakan,,,",5
"sesuai harga
",5
"pecing rapi mantap kamera baik tak ada kerusakan maaf blom bisa kasi bintang 5 karna kerang satu kamera sedikit lecet"" ",4
Terimakasih..barang bagus..semoga awet..cuma ada aksesoris yang kurang tapi ok.. packing rapi aman..proses cepat..,5
barang bagus sesuai barang kk gon royajuga ori gas ,5
"respon cepat barang cepat sampainya,semoga berkah ",5
"Terimakasih lazada barang sudah mendarat kemaren  mf telat respon 🙏🙏 
Saya LIKE. Banget pokonya ",4
"barangnya lumayan, pengiriman jg cepat.. thanks seller dan Lazada...",5
produk nya memuaskan terimakasih,4
"minta warna hitam di kasi warna kuning,
tapi good la ",5
"biyasa
",3
lumayan,5
