review,rating
"barang sudah sampai ya kak.. 
 sudah saya pakai sangat berfungsi.. semuanya lengkap sesuai yg di gambar.. makasih ya kakk seller.. mkasih abang kurirr.. barang sampai tepat pada tempat.. mkasih lazada.. semoga selalu memberikan yang terbaik.. 
Gajah bahagia Jaya..
Gajah bahagia The best..
Gajah bahagia Champion..
Gajah bahagia luar biasa... 👍👍👍👍",5
"real fict..
lengkap tp belum di coba..
semoga barangnya bagus",5
"Barang berfungsi ,semprotanya kenceng
pengiriman cpt kurir langganan dan ramah
thanks lazada n seller",5
sellernya responsip paket sdh mendarat aman dan lengkap sesuai deskripsi..hanya kelamaan di kurir sampe 2 minggu  ,5
"Di test semburan airnya kenceng sesuai tekanannya. Dicoba utk AC ketinggian 2.5m, awalnya gak mau keluar airnya..ternyata ada tekniknya, sehingga keluar juga air dengan semburan yang sama saat di test. Produk OK, semoga awet..sukses terus buat seller..🙏👍",5
paket pesanan kami udah kami Terima. makasih,5
"barang sudah sampek gaess mudah2an mantap.. lagi kerja nguli, blm dicoba. terima kasih yaa gaess. ",5
barang nya bangus dan sangat puas,5
"barang sudah sampai sesuai spek dqn deskripsi,toko juga sangat bertanggung jawab.jadi rekomen banget sama toko nya👍👍👍",5
"puas bngt belanja disini...penjual nya juga ramah, sukses selalu buat tokonya...terimasih juga buat lazada",5
"barang nya sudah mendarat dengan selamat,kurir ramah, waktu pendatangan nya saja molor tp gpp trimakasih lazada",5
sesuai orderan barang nya mantap kalau ini aq gak bakalan kopok beli disini,5
mantap boss... ,5
"brng sesuai pesanan hanya belum di coba, thx",5
"barangnya mantap, sesuai deskripsi.
maaf baru sempat kasih komentar",5
"bagussss... kreatipnya aku suka ...sdh dicoba ,menyenangkan sekali.",5
"mntap kenceng semprotanya
",4
"barang sudah diterima, pakaging bagus isi lengkap sesuai dengan keinginan. terima kasih 👍👍👍",5
Barang sampai sesuai pesanan,5
top mar ko top..barang sesuai pesanan..langsung d cobain..air nya ngucur kencang..thanks semua,5
"barang sdh ditrima,, lengkap blom dicoba,, thankz seller, lazada nd kurir

",5
😎👍 Barang lengkap dan berfungsi... thx,5
"pokonya gak bisa komen apa apa . 100/sempurna mantappp 
",5
"komplit n berfungsi dengan baik,mantap",5
terimakasih,5
"pengiriman cepat, barang belum dicoba",5
ok..,5
mesin ny berpungsi dgn baik,5
keren bgus,5
mntabb,5
plastiknya ad yg bocor,3
ok,5
