review,rating
"Quick response, Item arrived early and as described.. happy purchase!☺️",5
pesen selasa sore.. rabu pagi udah sampe..  Packingnya rapih.. aman.. Makasih ya..,5
"Siang order, besok ya sudah nyampe barangnya. Sampe kaget. Cepet banget datangnya👍👍👍",5
Pembelian ke2. Harga masuk ke flash deal jadi dapat diskon lg. Alhmdulillah,5
"digunakan untuk tempat kerja, tertulis bisa mengisap partikel sd 0.02. semoga bisa juga untuk menyaring virus.",5
Philips sudah tidak di ragukan mutu dan kualitasnya. Pengiriman dan penanganan penjual cepat dan harga dan juga harga oke.,5
"barang sudah sampai.  sayang tdk bubble wrap untuk barang elektronik besar,menambahkan rasa aman buat customer. harga super promo lebih murah dr yg lain.  ",5
"Malam pesan siang sudah sampai
mantep👍",5
"mantap, packaging aman, dkirim cepet.. thanks lazada",5
"Barang diterima dalam keadaan oke, pengiriman sangat cepat. Pesan tgl 8 Agt sampai 10 Agt 2020",5
Pembelian ke 3. Kualitas ok. ,5
"kemasan rapi & dtg y cpt
",5
baru seminggu ..mau beli lagi kok sudah naik ya harganya,5
sukaaa,5
Terima kasih!,5
produk sampai dengan aman dan cepat. saat dinyalakan produk berfungsi dengan baik.,5
