review,rating
"packing rapih, pasirnya sesuai pesanan bagus pasti makin nyaman nih hamster ku, harusnya beli 2 akutuh.. terimakasih 😊",5
"Seperti biasa, saya puas dengan lazada. Selain itu kurir nya jg aktif. Thank pokonya smoga makin jaya",5
Makshh pasir nyya nya banyak maNtul toko inii dahh langganan gak pernah ngecewain belanja apapun mkshh ,5
"Gatau knp setelah pake pasir ini, hamster saya setelah 3 hr mati. Krn setiap saya kasih itu kayak ada asep gitu mgkin gagal nafas hamsternya",3
"packing rapi, pasirnya bagus.. recommended 👍

*cuman sedikit saran untuk seller kalau pengiriman luar pulau jawa lebih baik menggunakan jasa ekspedisi JNE atau J&T saja. cabang Ninja sepertinya masih terbatas di kota besarnya, pengiriman barang jadi sangat lama. takutnya jadi penilaian negatif oleh pembeli lain.
trims
",5
"Akhirnya dateng jg....packing rapi,mksih lazada...",5
lumayan. walopun ga wangi,5
ok pas 1 kg ....,5
"Real pict, pengiriman sangat cepat, packing rapih dan kurirnya sangat Ramah.. Terima Kasih ",5
"biarkan bintang yang berbicara
",5
Alhamdulillah barang sudah sampai.. Penjualnya ramah banget. :) ,5
mantul,5
Mantapp👍👍,5
pasirnya bagus dan packingnya rapi,5
Produk sesuai deskripsi.. Bagus..,5
Mkshh seler n lazada ,5
mantap bang,5
pasirnya bgus n gak terlalu serbuk2 amat sich,5
sip! ,5
"Pengiriman cepat, packing rapi dan aman next order , terimaksih",5
kecewak,5
Sangat cepatttttttttttttttttttttttt,5
sudah sampai paketnya . terima kasih 👍,5
alhamdulillah mendarat dengan aman.. maaf nggk sempak foto brangnya,5
makasih kak respon cpt,5
tx yah,5
"Mantap Real pict, cmn gak wangi tpi biasa aja tpi gak papa lah The Best O",5
pengiriman cepat dan reaponnya ramah,5
barang bagus dan sesuai ok pokok nya. ,5
maaf baru kasih ulasan.. barang sampe dgn selamat packing rapih kurir juga ramah.. makasih lazada,5
pasirnya sy suka.. ,5
maaf baru ulas ..brng oke sesuai hapan...,5
mantap barang sampe dengan selamat... seller recommended lah👍🏻🙏,5
pasirnya kecil² saya kira besar²,5
"wow hamster ku langsung pada mandi, terimakasih. ",5
"Bagus bagus, hamtaro aq suka
",5
Sangat mirip dengan yang di foto sama lagi pengirimannya sangat sangat cepat,5
kemasan bagus,5
👍🏼,5
Mantull,5
