review,rating
sip👍👍👍sesuai pesenan,5
mantap barang nya udah sampe sesuai pesanan tks sellers mksh lazada Semoga dagang langgeng,5
barang mantuuul,5
"sudah mendarat dengan aman terima kasih kurir,lazada dan tokonya tetap amanah good jobbb",5
"Barang sesuai dengan gambar dan kualitas ok.
  Mantap pokonyah",5
real pict mantap...,5
"pengiriman cepat, barang bagus ...",5
pengiriman cepat... mantapp👍,5
mantab ini,5
mantap,5
barang sesuai pesenan dan pengiriman cepat..mantap terimakasih kepada seller & lazada ,5
barang siip sukses untuk tokonya,5
"Barang puas bgt sesuai pesanam wlou pengriman agak lama...
Trimaksih",5
ok bngeeeeeet,5
cepat sampai dan sesuai pesanan,5
mantap,5
bagus.....,5
👍,5
👍👍👍,5
good job,5
keren,5
