review,rating
"makasi semua, yang belanja di tidak akan nyesel",5
"Sangat  bagus, sudah  saya gunakan  memotong  6 kepala masih ngecas. Trimakasih. ",5
cepet bgt panaassss..bru separo pala az  udh  panas ..,1
cocok untuk pemula dan yg mau belajar motong rambut ..makasih banyak,5
"Barang dah nyampe dgn aman,,,semoga bisa tahan lama.makasih buat tokonya, makasih buat lazada.
Untuk Abang kurirnya dah langganan,,😊😊😊😊",4
Trima kasih lazada barangnya sangat bagus pengirimannya juga rapi dan cepat cuman sayang pisaunya tidak tajam,5
"alhamdulillah nyampe nya lebih cepet dari perkiraan..barang belum d coba, mudah2an awet..aamiin",5
"Alhamdulillah....T.OP
sangat memuaskan",5
pesanan dah terima lumayan hasilnya dah coba makasih lazada atas kirimanya,4
mantab...puas banget,5
"mantapp pokonya makasih lazada..barang berpungsi dengan baik...good
",5
Mantaaabbb......👍👍👍👍👍,5
barang separti digambar dan kiriman cpat,5
"packing bagus banget, kurir oke, mesin nya belum dicoba semoga amanah yaaaa, sukses trus mas🙏",5
good stuff.. sdh dicoba .. mantap,5
"lumayan,semoga bisa awet, perlu pembuktian.",4
barang nya buagussss banget pokok nya jos,5
"woke mendarat dengan aman berfungsi semua kurir ramah
",5
barangnya sdh terima  bagus,5
"Kereeennnn.
",5
Alhamdulillah,5
lumayan bagus kali ini,4
mksh lasada brg udh sampai pngrman cpt gk ad cacatx.,5
"Pesanan yang tiba tidak sesuai dengan deskripsi produk,tidak ada indikartor baterei",1
mantap barang nya lumanyan nagus. ,5
barang sdh saya terimah....bagus...terimah kasih lazada,5
barang ok..packing rapi ,5
Mantap sesuai Deskripsi barang kwalitas bagus material plastik yang sangat baik langsung pakai,5
barang dah d terima paking nya baik..tp belum saya coba,5
kecewa lampu indikator y ga ada,1
sudah saya bayar ,5
memuaskan barangnya,5
"paket sudah saya terima 
sdah dicoba ,mlayan lah nmnya pemula jdi agak bingung stelan mesinnya",5
"paketnya tepat waktu,,jayalah terus Lazada,,!!",5
Bagus dan nyaman dipakai,5
barangnya bagus banget bos ,5
Mantul bos barangnya... ,5
"lumyan ,,sesuai harga",5
"Alhamdulillah.. Sesuai dengan apa yang d harapkan....
Langsung d tes langsung mantap...",5
👍👍👍👍,5
"Mantap
",5
