review,rating
maaf saya pesennya racun kecoa & semut tapi kenapa dikasih kecoa semua seharusnya agak kurang puas tapi ya gimana lagi ini tapi kalau untuk kurir emang baik dan ramah,3
kk ini gimana sih... dah banyak yg comen jgn salah. saya juga salah dokasih. udah jelss pesanannya  yg tikus 2. yg kecoa 1. knp kecoa semua.. ,1
saya mau 0.2%，tapi kasih 0.05%,5
"Kuwalitas ampuh, hanya cukup satu bungkus, ditaburkan di bawah karpet mobil saya, kecoak mati keseluruhan tdk bangkit lgi dan tdk ad kecoa lain dtng lgi dan bagusnya kecoa mati kering, jdi gaknpakek acara bau2 kecoa lah. Manteplah.",5
"pesan 1 racun tikus, 1 racun semut, 1 racun kecoa yang datang racun kecoa semua. Saya minta lazada beri sanksi tegas untuk toko2 seperti ini, agar tidak merugikan pelanggan.",1
"Ini seller pelit banget goblok lagi
Pesanan dikemas cuma pakai sepotong kecil kertas koran lalu dibungkus pakai plastik tipis kecil yg bening yg ada lemnya yg bisa dibuka-tutup kembali, padahal ini kan racun yg berbahaya harusnya dikemas pakai karton kecil lalu dibungkus plastik dari Lazada yg warna orange supaya lebih aman dan tdk malu2in. Pesanan juga salah kirim! Minta 2 bgks racun tikus + 1 bgks pembasmi semut + 1 bgks pembasmi kecoa malah yg dikirim 4 bgks racun tikus! Memangnya tidak bisa baca orderan ya sampai asal ngirim begitu aja!! Kecewa banget sama Seller in",1
sore sy tabur pagi udah pada mati tuh kecoa ,5
Tak ada efek....masih ada kecoa. Tak tahu lah benar apa enggak ini product....!!!!!,2
"Barang mendarat dengan sempurna, cepet, gak ada lecetnya. Belom dicoba tapi semoga ampuh",4
"Pengiriman cepat... Mdh""ampuh yah",4
very good. kecoa mati semua,5
"Pengiriman : Cepat
Barang : Mantaph setelah ditabur banyak mayat kecoa berguguran. ",5
Isinya sedikit,5
Bener2 ngeselin deh yg di pesan racun kecoa yg dateng racun tikus!!!!! ,1
ampuh bingitzzz kecoa gak nongol2 di mobil ,5
sdh sampai.. Sdh dicoba..ampuh..15 menit ada hasil,5
kurir yang natar tidak sopan - teriak teriak ,5
bener2 ampuh bunuh kecoa...cpt lg pengirimannya,5
thanks good seller.. thanks Lazada.,5
"ok..paten,kecoany mati",5
Kalo niat nipu tidak begini caranya,1
paket dah sampai...smoga ampuh bunuh kecoa.mkasih seller n l,5
Pesan pembasmi kecoa yg dikirim racun tikus ,1
Bener kecoa tikus pd mati,5
jd racun semut semua 😑,1
ramah dan cepat,5
oke bgt,5
lumayan,3
