review,rating
paketan sudah sampai 😘,5
tidak bagus,5
"barang'y bagus..tapi gak muat d rambut sayaa..ketebelan rambut'y😅😅
buat abang kurir'y makasii udah langganan jugaa",5
dan aku ga pande makainya 😅,5
"memuaskan banget,pengiriman juga cepett❤❤",5
"Brng ny lumayn lh ps bwt hrga sgtu
Tp msh ssh cra ny
Makash lazada",5
bagus...pesanan sesuai...pengiriman cepet...,5
"ku suka jepit tuk sanggulnya ,makasih ",5
"maaf saya baru kasih ulasan sekarang, barang nya bagus,nyaman di pakai",5
blm ngerti cara gunainnya,4
makasih lazada barangnya sudah nyampai anak saya suka banget dan kurirnya ramah sekali,5
"okeeeieeiiiiii smua brngnya..cmn ada satu yg tertinggal
😤",5
bauuuus..mksh,5
Sidah terima pengiriman cepat dan sesuai gambar mlsh ya LAZADA,5
"Mksih lazada,, barang sudah sampe,, kurirnya ramah",5
"brng udh  ympk tp lm,",5
"real barang cepat sampai
",5
"pokonya bagus lah,,",5
Its oke bagus,4
barang dtng sesuai ,5
lumayan bagus kok cuma gak bisa rapat,3
"barang nya bgus bgt,,,",5
"dikira gede taunya kecil ,jd gk bisa dipake",5
aku suka bgttt bagusss:))),5
Bagus tapi gk bisa pake nya gimna 😢😢😢,5
"heheh serum nya habis di borong jdi gk ada foto LG hhehhe mkasi kurir nya ramah
",5
Lumayan cuma ga muat di rambut aq,5
ternyata kecil ya di kira aga besar g menutupi rambut☹️☹️☹️,5
"barang blom sampai di tangan saya
malah pmbrthuan ny udah di terima",5
"kecewa banget,pendek ga bisa di pake.",5
"gambang sobek
",3
gk prna kecewa,5
"Alhamdulillah paket sudah sampai 
",5
real pick paking rapih ga ngecewain,5
bagus real pict enak dipke...,5
Jual yg patah ya ... Jelek rugi beli ngak ada manfaat.,1
"bagus...aq suka..makasih lazada,makasih seler and kurirnya..🙏",5
"Gag nyesel belanja disini, barang sesuai pesanan. Datangnya cepat jga, + kurir ramah. ",5
cucok aq suka mksiih,5
Terimakasih,5
lumyn lkh,5
keren,5
👍,5
sip,5
good,5
bagus,5
Sangt puas,5
