review,rating
"maaf terlambat ulasannya, paket sudah di terima dengan pengiriman paling cepat, Istilah kata hari ini reseller kirim besok barang dah sampai, terpantau dari laporan pengiriman lazada, reseller cukup amanah, recommend dari saya.",5
bagus banget ka tapi sayangnya kardus nya penyok,5
"barang sudah diterima dan sesuai dengan gambar, thanks",5
barangnya sesuai pesanan,5
"Mantap sesuai pesanan cepat datangnya.
Penjual,kurir,lazada sukses selalu.",5
"jelek bgt, tipis pada pengok, pengemasan jelek , ga ada manfaat nya",1
mf Bru kasih ulasan barang nya udh sampai trima kasih,5
"Barang uda dtang. pembukusan'a rapi...
kurir ramah & da langganan...",5
barang sesuai deskripsi packing rapi recommended seller terimakasih seller terimakasih Lazada,5
"gua gatau barangnya bagus atu ngga,karna bukan dikirim ke gua,tapi makasih barangnyah sampe ",5
mantap deh,5
"bagus
",5
mantul👍👍,5
bagus,5
"barang diterima dlam kondisi baik, dan langsung dicoba, enak geli2 gimana gitu 😊",5
bagusss,5
