review,rating
"alhamdulillah  sesuai harapan,,🤗😘🙏",5
tanpa kepala satu wkwk,5
"Keseluruhan sangat bagus , puas sekali 😇😇😇😇",5
"lengkap teramanah,terthebest,ga nyangka bakal selucu lucu ini,makasih ya kak🤗🤗🤗",5
anak ku suka sama pulpen yah .terima kasih,5
"barang nya sudh dtng,sesuai selera,,anak sya suka bgt",4
"barang nya bagus, tp bnyak kekurangan nya, pencetan nya macet, pas ganti wrna, trus isi nya cmn sgni ko sdkit bgt...",3
"Makasih bgt stationery glosir yg bnr2 amanah,kalo ada bintang 10 sy ksh 10 deh,,terpercaya bgt,,, barangnya okeh, sm yg kurang  dikirim ulang,bonusnya yg pecah diganti pula, makasih bgt stationery,abang kurirnya pantang menyerah ujan2 juga mksh bang",5
Alhamdulillah pulpen nyq udah nyampe .. mkasih ya reall pict bngt adek aku suka bngt mkasih LAZADA.. emng ya dari dlu gk pernah kcewa blanja daini.. pokonya akan jdi langganan taruss..🤗sukses trus buat lazada❤️❤️❤️,5
"pulpen 10 warnanya lebih nih ka
salah hitung atau bonus ya kak?
makasih banyak ya kk... 
mudah2an selalu jadi langganan",5
bagusssssss. ga pernah zonk belanja di lazada,5
bagus banget anak saya suka banget pulpennya warna warni,5
"bagus banget , sesuai pesanan 👍👍👍",5
"agak sedikit kecewa bulpen nya ada yg cacat ada yg gk ada per""an nya,dqn ada yg gk nyala",4
pesan yang dino yang Dateng unicorn gimana sii,1
terimaksih😊😊😊🙏,5
produk sesuai pesanan.thanks yaa,5
reall pic dan super murah dibanding toko lain hrganya 9900 dsni murah bngt kwalitas bgus bngt smua puplennya jalan g da yg macet.. recomended bngt,5
"paket dah nyampe, pena nya jg bagus, cuma sdkit kecewa bungkus paketnya tala kadarnya aja. makasih....",5
"mengapa saya kasih bintang 1? karna tuh isi pulpen nya sedikit bngt gk kaya biasanya pulpen yang lain, itu pun di pake sekali mungkin sudah habis, pulpen nya sih bagus sesuai dengan gambar ",1
"makasih paket nya udh datng,,bagus,tp suka macet klw mau ganti warna tinta nya.",4
Bagus.... Ternyata warna nya banyak😊,5
"Pulpen beli 3 ok sesuai pesanan ,saya minta dipercepat iya cepat datangnya , tapi pulpennya yg 1 retak pen tuker cuma takut lama lagi ywdh deh terima apa adanya.sesuai saya pesan 3 jadi saya kasih bintang 3 aja deh 😎",3
"pelayanan ok, warna nya ada 10 : merah ❤, orange 🧡, kuning 💛, hijau 💚, biru muda 💙, biru tua 💙, ungu 💜, pink 💗, coklat 🍫, item 🖤",5
bagus bangetttt,5
bagus pulpennya ,5
"bagus anak saya suka banget.spti yg di pict.makasih mas kurir dan lazada

",4
lucu2 pulpennya,5
whehehehe realpict lahh syukaaa sekaleee,5
barang dah sampai... agak lama tp barang sesuai gambar.. ,5
mantuuull..,5
"keren.....
tp dah habis, jd ngk byk pilihan LG....
kurir Ninja Express nya ramah kali.. loh...",5
"pengiriman cepat,kurir udah langganan,cuman lom di coba..thanks seller,thanks lazada",5
sampe pulpennya  rusak... ga bisa di stroll ke bawah .. ga bisa balik lagi ..,2
"sip mantaap..
tq seller
tq lazada..
",5
bagus banget,5
bagus banget aslinya seller ramah pengiriman lumayan cepat makasih kak,5
"semua bagus n cepat sampenya.
terima kasih mbak n lazada",5
bagus pulpennya....sesuai.yg dipesan tp isinyaaaa sedikiiiiiiiit sekali tintanya,5
bagus,5
"Barang bagus, packingan rapi dan sangat memuaskan",5
👍👍👍👍👍,5
Mantappp,5
udah 2× bei di toko ini baguss sesuai pesanan🤩,5
"toppp lucu lucu,,,",5
"pulpen nya lucu,,tapi pas di pencet,kyak agak macet",5
bagus ' berfungsi semua,5
brangya oke bgt,5
"bagus pulpen nya,anak saya suka banget,",5
baguss👍😊makasih,5
bagus semua tintanya bisa dipake gak ada yg kosong,5
mantap gan... maaf telat kasih ulasan... barang lumayan bagus... nyata semua pulpen warnanya,5
bagus banget,5
bagus banget,5
ada yg macet isi pulpennya ...mana buat kado lg🤦🏼🤦🏼tp untung ga macet semua...,4
brg sesuai pesanan...bagus,5
"Pengiriman cepat, kurir ramah n sdh langganan
pkokx puas blanja d sini",5
top deh pokoknya,5
alhamdulillah. paket nya dh dtng kumplit smua. gk ada yng kurang. bgs2 anak2pada suka,5
bgs,5
luuucuuuuu,5
ok,5
Recommended Seller...,5
barang sangat bagus,5
lucu bagus semua,5
lucu bagus semua,5
bagus suka dan puas..,4
Realpict pulpen..anak saya suka..next time order lagi.maaf baru kasih ulasan..,5
udah bli 5 kali.. ga ada yg ngecewakan,5
"sesuai pesanan bagus 
terimakasih",5
"mantul, trim,s lazada",5
"Mantap, sesuai gambar, pengiriman cepat",5
BAgus real pict..,5
"Pulpen nya bagus bangett,Aku sukaaaa😍Thx seller",5
Bagus sih.. Tapi atas dari pencetan warna pink retak,3
"baguussss,😀",5
"baguss.. suka sama warna2 tintanya, lucu juga dinonya",5
"barang ok, kurir ok",5
"bagus, semua warna pulpennya berfungsi dengan baik, unik juga tengahnya terdapat hiasan dino",5
"pesanan sesuai ,kurir nya baik banget...mksh ya
",5
bagus mau pesen lagi,5
"pulpennnyaaaa lucuuuuuuu,,comellll,sesuai psenan sayaaaa..",5
"order di toko ini Oke Banget deh.....
ini orderan yg kesekian kalinya",5
pulpennya bagus banget makasih❤❤,5
bulpennya lucu,5
"semua brg realpict,kurirnya jg ramah",5
"baru nyampe barangnya udh rijek, ampe di benerin dlu, mn buat jualan lg. kecewa belanja di toko ini",1
"Harga ok!!  kualitas produk juga ok!! 
mang kurirnya udah biasa...  mudah2n ngga bosen deh!!! ",5
",,kurir ny marah smpe ga d kembali in uang sy.. hadeehhh,,",1
Bagus anak anak syukaaaa ,4
"barang bagus2, realpict..",5
bagus sesuai harapan ,5
bagus....sayang ngk bs beli lusinan,5
bagus sesuai etimasi . makasi,5
Semua nya kreeen bangus cuma yg unicorn agak macet gk bisa d tekan semua warna,5
"real pict .,... 
saya suka saya suka ",5
sesuai pesanan. barang bagus. sesuai foto. top... is the best,5
cantik banget... ,5
"pulpen nyh bagus seller nyh juga baik, Saya baik, adik saya baik, keluarga saya baik",5
sangat memuaskan,5
"pulpen ny bagus ank aqu suka binggittt
pkko ny mantuulll",5
bagus..  anakku suka,5
sesuai pesanan. harga ok.pengiriman lmayan cpt sesuai estimasi.,4
pulpen nya ok tp hrg ongkirnya MAHAL kt ponakkan bintang 1,1
PuLpenNya Bagus Dan HasiL NuLis Juga Bagus Makasih Yah😊,5
mantaap. ,5
bagus,5
bagus,5
siiip,5
mantap,5
bgusss,5
Mayan,4
jos,5
bgs,5
mantul,5
ok bgt,5
👍,5
❤️,5
😍😍😍😍,5
👍👍👍👍👍,5
Bagus,5
👍,5
👍👍👍👍,5
👍,5
suka bngt,5
bagus..👍,5
