review,rating
super duper memuaskan tv dikontrakan jadi lumayan jernih....semoga makin sukses buat sellernya.dan buat kurirnya baik karna udah langganan....😘😘😘😘,5
"Paket pembelian Antena merk Intra sudah diterima dengan baik dan rapih kemasannya, sudah dibuka dan dicoba untuk penggunaan indoor, gambar bagus dipakai di tv tabung, yang penting penempatannya tepat, dan untuk kurir nya ramah dan komunikatif...

Mantap produknya dan harganya masuk, thanks buat penjualnya",5
"Namanya juga antena murah mayan lah bisa nangkap siaran tv digital di jogja bisa 11 channel
Meski ga nyala semua 
",5
trims gan barang sudah sampai sesuai aplikasi mantap selalu agan semoga lancar dan Berkah buat bisnisnya yah agan ,5
"Pengiriman cepet ya estimasi 4-6 hari, ternyata baru 2 hari udah nyampe. Tingkat respon chat dari seller juga bagus banget sih Fast Response.
Untuk barang, harga terjangkau, kualitasnya juga bagus, kokoh. Tapi sayangnya kalo di tempat saya gambarnya kurang jernih dan masih ada bintik-bintik. Tapi kalo didaerah yang sudah ramai mungkin kualitas penangkapan sinyalnya lebih baik lagi. Overall cukup memuaskan sih. Thanks Seller. ",4
"barang sudah sampai dengan selamat .. smoga tidak terjadi masalah.. kiriman cepat.. kurir ramah.. terima kasih .
",5
Pas dibuka paketnya...patah...aduh aga kecewa ya..biasanya ngga kyk gni klo pesen barang...tp yaa udahlah..mau gmna lagi...☹️☹️,3
Terima kasih banyak lazada.. Paket nya udh nyampe tdi siang.. Tpi bru di ulas sekarang.. Krna di cobain dlu..berfunsi bgt.. Skrng bs nonton tv lgi deh..,5
"sudah diterima dengan baik, dan Alhamdulillah lebih jernih dari antena sebelumnya walaupun masih ada beberapa Chanel yg gak bagus gambarnya.. tetap TOP lah lazada, thanks buat abang kurirnya",5
"terima kasih...barang dh nyampe...
tdk cacat,sesuai spek....
walo gmbr masih ttp banyak semutnya...
ttp terima kasih jg buat kazada Dan kurier nya...
🤗🤗🤗",5
Tolong lha jgn lha kirim kalau sdh rusak begini...kami jg sdh berharap barang kami pesan bs dipakai..barang sdh lama sampai..sampai jg barang sdh rusak..trims,1
"alhamdulillah antenanya bagus,,gambarnya langsung jernih gk ada semutnua,kabelnya panjang,pengiriman sesuai estimasi,top markotop,moga awet,kurir ramah,thx seller & lazada",5
"Alhamdulilah barang sudah sampai. Kemarin malam pesan, abis maghrib ini datang. Kurir nya ramah, karena teman sekampung 😁. Pertama kali terima, agak meragukan. Kardus nya penyok, agak basah. Mungkin kehujanan. Tapi setelah dites Alhamdulilah bagus gambar saluran channel tv nya ",5
"barang sesuai pesanan,dan mendarat dgn aman, langsung di coba,hasil gabarnya bagus dgn harga segitu bisa menghasilkan gambar yg bagus, kurirnyapun ramah,terimakasih Lasada sukses trs👍😊🙏",5
Kualitas produk baik dan gambar jadi lebih jernih sekalipun tanpa penguat boster. Lokasi berpengaruh trhadapa kualitas sinyal.,5
"alhamdullilah barang dah smpe dari siang maaf baru sempat Ngasih ulasannya l,Barang bagus oke GK ada yg rusak thanks lazada",5
barangnya sdh diterima dlm keadaan baik,5
