review,rating
pesanan sudah Dateng di terima dgn kemasan rapih barang bagus ky asli aku suka bgt bandulnya gede bwanget aku kira sedang taunya besar to aku suka bagus trimakasih KK bet lazada pokonya isdebes layanan kurir baik dan cpt trimakasih ABG kurir,5
syantik. bngt anting nya😍,5
"Alhamdulillah udah datang dan realpict..bisa u/ yg berhijab juga nih, sukaaa😘 trimakasih seller & kurir",5
"aaaaaa nice.
very like it. 
thank youuuuu. 

dikasih bonus cincin diriquuuuuuuu order 5 dpt 6..

love love",5
"paket saya sdh terima,, saya suka dgn barangnya sesuai sama gambarnya,,, kurirnya juga baik dan ramah,, pokoknyq seneng deh dgn pelayan toko ini bakal jdi langganan ditoko ini,, makasih lazada",5
"pesen ap yg datang ap, mengecewakan sekali.
klo gk ad stok yg sy pesen Yo jngan di kirimkan ini toh.
sngat kecewa siapa ini yg MW makek anting kecil bgni😤😤😤",5
terima kasih atas pelayanan yg diberikan paket sampai dengan dalam kondisi yg sangat baik. terima kasih kepada reseller dan pihak lazada kami puas dengan pelayanan yg di berikan.,5
sesuai pesanan pengiriman nya juga cepatt,5
"barang sudah sampai sesuai dgn gambar,thanks lajada",5
"Anting x cantik bnget nie 
thanks lazada jg kurr x yg baik hti",5
"sesuai gambar bagus deh
",5
cuantikk gaess,5
"bagus, realpict",5
Saya suka banget anting ny bagus cantik .sy juga lagi pesen lagi model lain .memuaskan pokok ny ,5
"bagus aku suka bgeeet ,,,pengiriman y cpt lg ,poko y aku suka ",5
"siip sesuai fic sya suka...gk nyesel dech trims lazada

bwt kurirx rmh 


",5
barang tidak sesuai.. pesan anting panjang yg datang giwang nenek2 nyesel deh,1
"mantulll mudah""han awet y",5
Sngat bagus mudh2han g cpt luntur,5
cantik antingnya sy suka terima kasih....,5
"terimah kasih kpd toko ini dan Lazada , siiippp 👍",5
"bgs antingnya realpick, sesuai harapan, q suka kerennnn,",5
"sesuai gambar
",5
bagus real pict,4
"sangat puas dan pengirimannya pun cepatt
respon penjual juga ramah
g rugi beli d toko ne
",5
Brg sesuai cuma tipis bgt,5
the best pokok nya..,5
Bagus and Sesuai pict 😍,5
bagus bngtt,5
"Bagus sesuai dgn yg di gambar,aku suka sx ",5
suka😍,5
pesen nya anting yg Dateng kalung 😂😂😂,1
suka banget kak barangnya Oke 😘😘,5
Thankyou lazada,5
Selalu puas belanja di lazada,5
anting ny imut euy. mksh lazada and kurir. smg awet g cepat luntur,5
"Alhamdulillah senang

",5
Makasih brangnya bangus qw suka,5
"Sippp,,  sesuaii pesanann.. Top",5
"real pict,,bagus",5
"Barang bagus real pic ya,pengiriman juga cepat.. pertahanan ya ka☺️",5
bagus banget ,5
bagusss,5
Ok ag,5
Bagus,5
mkasihh,5
mantuuul,5
👍👌😍,5
bagus,5
"OK
",5
suka bgt ,5
