review,rating
"pengirimannya telat, pesanannya juga salah. padahal pesan xl tapi malah di kasih ukuran L, ya sempit lah bajunya",1
Alhamdulillah..sesuai,5
Alhamdulillah ni yg ke 3x nya..mksh lazada,5
paket sdh mendarat bahan sesuai dgn harga trmksh seller n kurir sdh langganan trmkash lazada,5
jasko nya mantap gak ada minus SMA sekali dan enak juga di pakai nya ? ...terima kasih LAZADA,5
Hadeuh kecewa banget...hrpn saya  pingin warnanya hijau eh yg dtng warna biru.....tapi gpp lah itu kesalahan saya .. Salah ngchat. Ga liat tulisan kirain warna nya hijau semua soalnya potonya hijau semua..,5
sesuai trimakasih lazada,5
"Paket udah nyampe tadi sore, bahan Nye sesuai gambar, pokoke mantap! Trims Lazada, seller, dan kurirnya.",4
"Baju kokonya semuanya bagus sudah diterima sesuai pesanan dan pengiriman cepat, trmksh lazada n seller",5
mantap babget ngga ada kecewa sedikitpun... dari pesanan hingga paket datang semuannya muuuuaaaantaaaaap... perjalanannya pun lancar jaya,5
paketan sdh sampe penjual amanah banget tidak mengecewakan ini pesanan sy yg ke 2 kurir lazada jg skrg pd ramah mksh lazada sukses selalu ,5
Alhamdulillah barang barang sdh diterima sangatlah cepat.. cm syg yg warna putih ada noda shg baru tapi nggak bersih.,4
ajib bajuny ,5
"barang sampai  sesuai pesanan,  makasih semua! ",5
terima kasih lazada barang sesuai gambar pengiriman sedikit telat.. kurir ramah,5
"mantapppp...toko penjual cukup amanah
",5
mantap dah pokoknya bagus👍👍👍,5
Mantul bgus,5
Bagus... pertahankan.... pesan lagi boleh,5
"Cepat sampe nya,
Barang nya juga ok...",5
Ok.. bagus ,5
Ko warna nya beda ya ,3
"Bajuny bagus bngt sesuai m pesenn lain kli bkaln order lgi dh, bank kurirny baik dh",5
Barang udah nyampek bagus sesuai pesanan trima kasih ,5
"Baju kokonya sdh diterima sesuai pesanan dan pengiriman cepat, trmksh lazada n seller ",5
"mantap bajunya jdi seneng mksh lazada smg makin sukses 

",1
pengiriman cepat cepat cuma saya catting sama seller tidak di respon mau ganti warna.,4
baju ny bagus ,5
"barang bagus, ramah dan berkwalitas",5
bajunya bagus bnge papah aku suka,5
"sesuwai dengan harga bagus deh trimakasih
",5
ajipp dah pokoknya,5
"barang bagus👍
walaupun lebaran sudah lewat,terobati dg kwalitas 👍
pertahankan seller,lazada👍👍👍
kurir juga ramah🙏",5
"ajiiib dah pokoknya,klo bisa lebar lengan tangan agak di tambahin dikit biar amnil wudunya gak usah di lepas,yv pasti ajiibb lah besok insay allah pesen yg merah sekali lagi pokoknya ajjiiiiiiib",5
"Alhamdulillah barangnya bagus pokoknya dh jadi kepingin order lagi terus pertahankan dan semoga amanah
",5
"trima ksh, baju nya bagus,size nya pas,penjual ramah dan amanah,👍👍👍👍👍👍👍",5
alhamdulilah bagus dan pas..,5
Brng bagus T O P dah pokonya mah,5
mantul tul tul pokok ny,5
Mantaps produknya,5
"Barang sudah diterima sesuai pesanan dan pengiriman cepat, trmksh lazada n seller ",5
Assalamu alaikum  wrwb. kalo barang kembali dah di terima tolang kirim lagi yg warna ping .,5
"Mantul dan jos ,kurir ramah terima kasih semuanya",5
Lain kali periksa barang sebelum dikirim. Ini ada 2 kancing yg patah ,3
"2x belanja ditoko ini,alhmd.puas...👍👍👍
mkasi lazada,seller dan kurir🙏",5
bagus bahan nya adem,5
Terima kasih pesanan saya sesuai,5
mantul bosku,5
"paket sudah datang, bahan bagus dan jahitan rapi, sayang agak sempit.",5
Alhamdulillah baju sesuai diklan bagus dan memuaskan,5
"baju sangat memuaskan, bahannya adem enak dipakai. toko yg bagus.",5
barangnya lumayan cuma saya minta ijo dikirim biru tp gpp thx lazada n kurirnya bagus,4
"mantap, puas pokoknya",5
Baju nya bagus sesuai d gambar ...siip terima kasih lazada ,5
mantap kokonya bagus tidak mengecewakan,5
Barang'y si sesuay bangt dh tapi sya gk suka sma kurir'y gampang emosiyan judes ,5
minta warna hijau dikirim lain ... tp gpp barang bagus,4
"alhamdulillah tidak pernah mengecewakan konsumen
",5
"bajunya bagus,bahannya juga bagus👍👍",5
"kcewany cuma d warna,kirain biru muda  trnyata biru BCa",4
bagusss skaliii,5
"baju y Bagus alhamdulillah gk mengecewakan.... 

",5
"Puaaaas bnget brang sesuai gmbar smpe mau psen lg 😘😘😘,pngiriman cepat, 👍thank lazada😘",5
warna koko digambar tdk sama dgn aslinya,3
"bagus pokonya keren dah sukses terus 
",5
top,5
oke mantap,5
bagus👍,5
top,5
ok Oce 👌,5
ok,5
"cuci
",5
M,5
