review,rating
Bajunya cantik😍,5
"Makasih yaa buat lazada barangnya udh sampe sesuai pesanan,,, makasih jg buat sellerny yg ramah",5
bagus udah 2 x 😊,5
"Mendarat dengan selamat, suka banget sama gamisnya. Suka sama motifnya.. worth it banget buat sehari-hari, nggak keliatan murahnya😍👍🏻 pokoknya best seller deh, bisa jadi langganan nih. Thanks yaa Kak😍👍🏻👍🏻",5
pnipu.masa di ksih bju buat ank kcil.,5
bagus gamisnya warnanya jg sesuai. tapi sayang di pakenya ngatung kurang panjang.jd gletak ngga di pake kecewa.pdhl biasanya pb 138 pas di aku. mungkin ini pb135,3
"real pict,, tpi sayang kancing ny sush d buka, agak ketat sikit,  tpi ok la untk sgtu.. cntik sesuai ap yg d inginkn..😊",5
bagus sesuai dngan harapan semoga selalu amanah ya mbak insa allah nnti order lgi 😊,5
paket yA belum saya buka...kalau pedatang saya bagus...nanti saya oder lagi,4
"sesuai barang .... makasih lazada ..... makasih kurir, 
kurir nya juga ramah 👌👌",5
Ka maaf klo jual baju jgn seperti sayur dong setengah mateng kan gak enak jadinya ini baju kan di lihat orang masa jual baju setengah jadi modelnya bikin gue kesel ,5
Sukses selalu Kak😊😍🙏🏻,5
Sesuai harga lah..,5
terimakasih ka paket telah sampai,5
ok jahitan nya rapi makasih,5
gamis nya bagus ko.. emak saya suka bngt.. ,4
"reques sm persis gmbar. .yg dkirim mlhn wrna ijo. gk seruu...lain kali yg teliti y. 
",5
okee...kurirnya udah langganan,4
barang y bagus sesuai sama gambary terima kasih lazada ,5
sangat kecewa tidak sesuai gambar tipisss bgt.,2
sesuai barang 👌👌,5
barangnya bagus sesuai pesanan 🤩,4
kecewaaaaaaaa bngt bahannya jlek kaku kya bahan payung trus bawahnya ga mayung standar.,5
"kekecilan,pjgny ngatung",3
👍👍👍👍👍👍👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤❤,5
bahannya agak panas . tapi warna dan corak sesuain real pick .. makasi lazada .,4
"bagus lumayan 
",5
bagusss ... ,5
"Lumayan aj ya,",3
ok,5
Alhmdllh ,5
Mantul👍,5
