review,rating
pengirimannya cpt daan brg nya bagus bagett uk.nya pass bahan nya bagus sellernya ramah...trimakasih lazada,5
barangnya cpt sampe pdhl baru kemaren pesan eh udh sampe aja cm 2 hr bahannya jg enak dipake pas sm bdn sy.. trimakasih sy puas bngt sm barang nya,5
"barang nya bagus bgt,terima kasih",5
"sangaaat memuaskan baju nya baguus,penjualnya ramaah😘..kurirpun dah langganan..semoga sukses trus lazada",5
"lamaaaaaaa mau di pakai saptu ,hari Rabu nya baru datang,kurir nya ngk ramah,Gedor gedor rumah kayak rampok di bilang tunggu masih gedor gendol nukan ketuk pintu layak nya tamu😠😠   ",3
"bagus, bahan tebal kualitas ok, jahitan jg rapi",5
"Pengiriman cepat mantap, barang bagus jahitan nya rapi, ukuran XL pas bgt bt berat badan saya 68",5
sesuai pic packing rapi smpe cepat terima kasih ,5
baguus kain tebel recomended tq yaa,5
"barangnya mantull tidak mengecewakan,pengiriman super cpt.makasih lazada dan seller...
",5
bagus bahannya juga tebal ...sesuai dengan yg di inginkan,5
bagus sama kaya gambar ,5
Mantuull,5
👍👍👍👍👍,5
