review,rating
"mantap lah ,bagus barangnya ,dan pengemasan sangat aman😂 ,kurir juga ramah thanks seller ,maaf baru kasih info😅🙏🏻👍🏻 ",5
"T.O.P 
TambaL Otomatis Paten !!
siiippp...
gx harus boLak -baLik Mompa BAN ..
",5
Biar bintang yg beebicara,4
"pengiriman parah, cuma dibungkus plastik,  barang diterima dengan kondisi penyok2, untung gak pecah. ",5
barang udah sampai....terbungkus rapi......dan memang kita butuh utk ban matic kami.......silahkan yg minat jangan ragu ragu.......matur nuwun ,5
mantap betul,5
Lom dicoba ,5
"boss...
oke
",5
barang dah sampe makasih ,5
Packing nya jelek ,1
