review,rating
Barang lama nyampeknya..da gitu mur tutup pntilnya yg warna merah gak ada sebelah..kmasannya pun Uda terbuka😣😔😒,3
Alhamdulillah barangnya sudah sampe.realpic bagus barangnya👌,3
lampunya rusak satu terus g nyala...sangat kecewa,1
"Tidak amanah.. 

Pesan 2 bayar nya pun 2 

Barang dtg 1 . 

Semoga Allah SWT 
balas semua Perilakumu.. ",1
mantul barang y sy suka... kurir y pun mantul,5
bagus banget🙏🙏🙏,5
"barangnya ok bgs bgt 
saya suka 
kurirnya jg ramah 
makasih lazada",5
paking rapi barang bagus. pertahankan.,5
menyenangkan,5
"barang bagus, cuma pengiriman lambat prosesnya",4
mantul mau pesen lagi ah,5
barang nya bagus sesuay dngn gambr,5
