review,rating
bagus banget aku suka  ,5
saya kasih bintang 2 aja respon penjual kurang tanggap bandana yang dikirimkan kecil ,2
Bagussss gk nyesel belinya pengiriman cepat dan cod ,5
"hihii lucuu bangett,,  imutt",5
bando nya on..ftr,5
bagus banget sumpah.bahan nya juga lembut suka bnget de pokonya,5
Bagusss dan sesuayyy  pengeriman nya cepat ,5
bandonya sobek,1
"hore... barangnya kemaren sampe jam4 sore,bandana nya bagus aku suka,real pick,,kurir ramah,, dan packingan nya rapih,,the best lah 😆",5
"huaaaa sukaa bandoo 😍
sesuai aplikasi Alhamdulillah
sya bli 2 wrna pink smaa abu yg sya sering pke pink dnn jg bahan bando nya lembutt bgttt
pngn orderrr lgiii🔥
TRIMA KASIH",5
ucullll bgt,5
bagus...anak sy suka banget.,5
"bagus banget , bahanya oke banget buat harga segitu, kurir juga responsif banget tencuu🥰",5
"nyama dupakai,dan gak ribet saat memakainya",5
"pesen 2,dua2nya bagus sesuai😍",5
"Bagus bgdd, bulu nya aluss, murah tp gag murahan, ",5
sudah diterima dengan baik dan aman sesuai dengan pesanan terima kasih banyak ya...,5
Ssuai Pesanan.. Mksh..,5
Pesanan dah sampai bhnnya lembut. Pokoknya puas deh ankku senang,5
"barangnya sampai sesuai estimasi, bahannya lembut dan nyaman.. thanks",5
"Lumayan bwt bandonya,anak aq suka pakenya ",5
tanks kak....barang sudah sampai kak....sesuai pesanan dan memuaskan🤗,5
Saya beli barang sesuatu bgt🥰sukses trs lazada😉,5
"Makasih lazada , dari awal beli dilazada ga pernah mengecewakan ,bandonya sesuai ,kurirnya ramah",5
Agak ngetat si buat uk orang dewasa tp ya sesuai harga lah,5
barang nya bagus😍intinya suka bgt,5
"agak lama sih mungkin karena corona jadi izin ke jakarta agak ribet 
tapi gpp barang bagus ",5
"Jangan ragu beli dsni, barang bagus, makasih seller n lazada",5
Bagus cm pesen pink kenapa yg dtg salem Tp gpp bagus ,5
sesuia barangg koo🙂 pengiriman jugaa gakk lamaa,5
"Barang bagus, realpict",5
Bagusss bngt sukak deh😍,5
Makasih banyak lazada barang sesuai dengan gambar warna hitam aku suka banget ❤️,5
bagus sih tapi saya kecewa nya jahitannya gak Tretep banget tapi saya like bando nya😻,5
"paketnya sdh dtg ,kurirnya ramah ,cpt",5
bandonya bagus anak saya suka,5
"maaf baru kasih ulasan top lah ,jd mkn cantik aku ,sampe anak ku gemes liat Banda nya 🤣🤣🤣",5
"bagus banget,suka makasih lazada <3",5
Bandana nya lucu mau order lg ,5
"bagus, dan lucu, makasih seller.",5
lumayan utk drumah ,3
"bagus banget pokonya
",5
Sesuai dengan gambar,5
"Bahan 👍
Anak saya sukaaaaaa banget ",5
bagus memuaskn ..😍😍😍,5
okey sesuai sama harga ,5
"Bagus sesuai pesanan 
Bahan nya juga bagus lembut 
Kurir nya juga ramah ",5
"bagus makasih, kurir TOP",5
"bahannya lembut halus suka lucu bnget.sayang gk beli banyakk,😧😧",5
bgus Qu ska😍😍,5
"Barang sesuai,bagus tpi bahan'a agak tipis y...
Kurir'a sopan dan ramah...",5
Barang nya sesuai pesanan terima kasih lazada ,5
Bagus sesuai hrga,5
"baru pesen kemaren hari ini dtg,
barang nya sesuai ",5
mantap boss barang nya 👏🏻👏🏻,5
mba kpan punya sya d kiriim,5
👍🏻👍🏻,5
bagus.,5
bgs,5
niceeeeee,5
" , ",5
GeMoi,5
bgs,5
sukaaa,5
mantap,5
Baguuuuus,5
tq lazda,5
ok puass,5
real pictt,5
