review,rating
barang nya udah sampai sesuai estimasi pengiriman.. udah cek kelengkapan barang dan barang yg di kirim lengkap sesuai deskripsi namun motif nya aja yg ngak sama yg di gambar.. yg di kirim random.. tapi ngak apa deh motif yg di kirim lucu juga.. bahan nya halus 👍,5
mamtap bgt kkk. mau order lagi 🥰🥰🥰🥰,5
"pengiriman nya lama sekali hampir 2 minggu lebih dan barang pesanan saya berbeda dari yang di pesan, pesan motif unicorn datang nya tedy ber, tp layanan chat cukup memuaskan",3
"alhamdulillah paketan sudah sampai sore ini
walau agak lama tapi gk papa lengkap 
puaas terima kasih",5
"walaupun datangnya lama. tapi pesannya bagus banget sesuai yg datang lengkap bahannya bagus, cocok buat gift",5
"bantal petang, bantal tangan,  kaca mata jemur  gak ada cuma dpt bantal menyusui, dan kain
penjual gak jujur apa kurang teliti sebelum kirim",1
"Barang telah keterima cuma sayang seribu sayang pesenan warna tidak sesuai minta warna biru dongker yang datang warna krem,buat kurir terima kasih,,,,,",3
"Alhamdulillah..paket dateng dg selamat & baik,, 
Walau gambar kurang kompak..
Terimakasih Seller,, Lazada,, abang kurir.. ",5
"Barang bagus tokonnya jg amanah.... 
Tp jahitannnya agak kurang rapi",5
"Barang sesuai deskripsi, mantap...!!!",4
"kurang cocok sama warna nya,, ",3
"Sangat memuaskan, paket lengkap. Real pict 
Karena keadaan lagi seperti ini jadi memengaruhi pengiriman. 
Tapi gak masalah, 
Terimakasih seller
Terimakasih lazada",5
"bagus
suka👍",5
makasih😁 barang na udah nyampe. good job ya buat seller nd kurir na👍👍👍,5
"Brgnya lengkap, berharap sih motifnya seperti di gambar, tp gpplah",5
"barang nya si bagus,tp pengirimn nya lama banget",5
"Barangnya aku suka, aku suka.. bagus banget sesuai gambar. Ok banget",5
masya allah bagus lembut lagi bahan nya,5
alhamdulillah sudah smpe walaupun pengiriman.a lama tpii ttep snang.,5
"bagus banget.. bahan bantalx g gampan pesok
sesuai dgn pict",5
