review,rating
"Maaf y seller,seharusnya brg itu d bungkus plastik ato buble selapis dnk,ms dibiarkan gt lgsg lem salasiban putih yg benar aja. Toko gt besar apa kekurangan plastik buat lapis??? Buat pelanggan malu aja. Brg blm d buka,jd gk mood. Pelayanan krg baik,maaf. Pengiriman 4 hari.",3
Utk produk (bantal) saya kasi nilai kepuasan 10. ini benar-benar sesuai harapan saya. tapi utk pengiriman 8 deh.. 6 hari baru sampai barangnya :),5
"recomended...puas banget, barang sesuai pesanan. bantal dan guling nya empuk..gembung sesuai yg diinginkan..kurirnya ramah. thanks lazada",5
kecewa juga...kirain bantal dan gulingnya tebal seperti standar bantal dan guling di hotel...ternyata kempes...ngak seperti yang saya bayangkan...,5
bntl ny bagus terimh kasih semua ,5
"okay deh, barang bagus dan memuaskan. saya suka
trimah kasih yaaa",5
"Alhamdulillah barang oke banget,pengiriman cepat, packing rapi. thankyou seller & lazada. gak nyesel order disini.",5
yeaaa.... makasih lazada.... barang cepat sampai hanya 2 hari setelah pembayaran.... seneeng kalo ada diskon gede lagi pasti blanja deeeh.... ,5
"Bantal bgus 2guling 2bntalkepla dpat bonus1 bntal kepla  rapi juga bungkusan nya....oke lahhh hrga segitu 
 ",5
cukup bagus sesuai harga yg ditawarkan. namun bagi yg mencari produk lebih bagus lagi mgkn produk ini msh belum bisa mewakilinya,4
"Barang nya sampai cepat. Bahan oke, tidak mengecewakan
",4
Bagus bantalnya sukak😍,5
"barang oke, bangus",5
Oke Bangetss Pass ,5
"sesuai harga, pengiriman cepat pdhl ke kalimantan. thanks ya...",5
"benar2 Premier Pillow, thank's LAZADA...",5
saya sukaaaaa,5
kecewa ternyata tipis,3
Barangnya kurang bagus...g keras bantalnya,1
"tidak ada packing yang rapih,. buat pelanggan pembeli lazada bgt cpt terpesona dgn penampilan ",5
"terima kasih bantalnya empuk,
recommended ....
thanks...",5
"bahannya bgs, lembur sesuai pesanan ",5
"Seller n produk n packing n kurir Yes! memuaskan

",5
bantalnya bagus recomended banget,5
sudah sampe dgn kemasan bagus mantap,5
produknya bagus n barangnya sesuai dengan pilihan konsumen.,4
"Produk ori, bahan empuk, kemasan rapi, jahitannya juga rapi. Thanks Oscar Living, thanks Lazada...",5
Besar bgt bantalnya sampe sarung bantal gda yg muat,4
kualitas average. pengiriman cepat,4
"barangnya bagus, isi bahan dacron. packingnya juga rapi, dipress.",5
bantalnya lumayan lembut...cuma gulingnya dilipat wkt dikemas...,5
"bantal bagus cuma ternyata agak kurang empuk, tapi sesuai lah dgn harganya.. ",5
Puas,5
empuk euyy,5
bagus ...,5
bagus ,5
mantul,5
