review,rating
"saya pesan ukuran M tapi kenapa.yang dstang ukuran L
kalau tidak ada ukuran M jagan dialihlan ke L. kecewa saya.terimanya",1
Brng sdh sy terima. walau pengeriman telat tp barang sesuai pesanan. terima kasih mohon untuk pengiriman diperhatikan,5
Barang bagus sesuai pesanan,5
Barang Sudah sampai. Terimakasih Lazada,5
barangnya oke cuma tak secerah d foto warna birunya sprt hijau,4
batiknya mantul dan pengirimannya cepat dan kurir nya sopan,5
"bajunya adem bgus 
mksih",5
Barang nya sdh sampe makasih ,5
Makasih lazada paket ya sesuai gambar tapi kok bahan nya tipis bangt ya ,5
bolehlah.......,5
bgus bgt,5
lumayan enak,5
gak kecewa pokoknya,5
bajunya maer bos sib tenan👍,5
ukuran gede..kainnya jelek,5
"motif agak beda untung yg order mw
bhn adem",5
"bagusss sesuai gambar , trimakasih 👍👍",5
"bagus adem bahanya
",5
mantap barangnya..👍,5
mantap barangnya..👍,5
ok lah buat harga segitu..,5
alhamdulilah barang bagus realpict,5
bapa mertua saya suka.aslinya bagus.,5
lumayan buat harga segitu mh bahan bagus suka bangete,5
real banget,5
okelah,5
keren kok ,5
nice,5
ok,5
"bgus

",4
