review,rating
mantul banget ❤️Full kancing yang 2 kancing Jumbo paling atas kancing y Model perekat🤗pas banget di badan .Klw bb ku naik lagi ngga bisa muat😁,5
barang nya udah sampe bagus bgt puas deh pokoknya ngga kecewa barang nya sesuai gambar kurir nya juga ramah makasi lazada 😚😚😚,5
bagus banget real banget sama yang digambar suka deh😇tapi gak muat padahal udah ukuran xl,5
tinkyu kaka barang dah sampai sesuai pesanan.. kurir ramah 🙂🙂,5
"bagus banget baju Nyh,degdegan mau di pake besok eh tidak di duga sore tadi datang😍 terimakasih banyak ka,gk nyesel Poko nyh",5
"sukak banget sama seller yg ini,model yg sama habis langsung chat,nggak asal kirim..rekomend bgt,selain bahan bagus size jg pas,nyampenya jg cepet cuma 2 hari 😉😉",5
trimaksh baju batik halus sesue psenan alkhmdlh cumn saya badan gde pk xl ngg muat untung ada longgar jaitnya jadi bisa d buka mksh tooop dh biasa blnja lgi saya d sini,5
Baju nya bagus g kecewa.. Pokonya ok,5
"bahannya Bagus, sesuai dengan pesanan. 
",4
"perfect 👌 pengiriman cepat 2hari aja lngsng dteng.. 
recommended lah.. gk nyesel order ditoko ini",5
"bagus bnget, cuma kkcilan.thnks",5
Real picture,4
sellernya ramah dan bertanggung jawab. sukses terusss. bahannya bagussss,5
baju nya bagus suka,5
"bahanya bagus, adem, pengiriman jg cepat.
tpi ko bagian punggung ada tambahan kain kya model kemeja cwo yah..",5
bajunya bagus top murah LG...g nyesel DECH semoga amanah kedepanya,4
"pesanan udah sampai,baju bagus sesusi pesanan tspi sayang kancing nya copotan  mksih lazada",3
"baju nya bagus v sayang kegedean al hasil buat ibu deh bjunya...tapi ga pp ibu nya jga suka. tks lazada
mmg kurir nya sampe hapal krna sring blnja online.....",4
"puas sekali .,...god..,.👍👍👍",5
"Paket dah sampai, Alhamdulillah memuaskan",5
mkasih kak barang sudah samapai.. sukak sih sama bajunya.. tp ukurannya kurang vesar dikit. 😁,5
Mantaps semua kak,5
"Bagus baajunya, suka sekali,  respon Bagus, terimakasih 😍",5
paketan udh dtng  sesuai pesenan pengiriman cepat terimakasih seleranya baek udh langganan 🙏🙏,5
kekecilan,5
AK suka dg bajunya pake banget,5
warnanya kalem dan bagus. aku puas bagt,5
bagus. sesuai gambar saya puas,5
"baju nya sesuai allhamdulilah,terima kasih Lazada ",5
jelek,3
bagus dengan harga murah meriah,5
"sesuai pesanan
",5
istri suka.. kualitas bagus.. pengiriman sesuai estimasi. terima kasih,5
Barangnya bagus sesuai pesanan ,5
bagus,5
kekecilan,3
"bagus..,...pas di badan.",5
