review,rating
Barangnya bagus real pict n kainnya juga adem.. Nyampenyapun cepet banget pagi pesen ehh besoknya udah nyampe aja...kurirnya ramah juga,5
legging ya sudah saya terima..sampainya MLM bgt jam stengah 10an .. tp GPP Abang kurirnya tetep anter walpun udah MLM bgt dan konfirmasi dulu lewat telpon ..danndan gift pulpen kapsul lumayan alhamdulilah..dan dapet harga 10rb murah bgt,5
bagus...aku suka....makasih Lazada....,5
ukuran sesuai.. tp bbahan. ga sebbagus yg warna. hitam. ukuran biasa... kurang. Stretch... saran saya jangan di bedakan bahan walau warna beda,4
Bagus bgt dpt bonus pulpen kapsul😁😁ga nyesel deh beli d sini,5
terimakasih barangnya bagus..,5
"bagus juga lagging nya ,adem bhn nya mksh mybamus",5
"mau lagi, leggingnya, sika bahannua, tp ukurannya kurang besar, adakah yg ukuran 16",5
"Warnanya lebih gelap dari yang di gambar,overall oke",4
kecwa wrn nya gak sesuai dgn dfto bhan nya melar gtu,3
"real pict ,pengiriman cepat",5
"Topp markotop deh , pasti bkln pesan lgi , brng baguuss bngeet",5
barang nya bagus....,5
👍 baqus aQ suka ,5
Sukaaaa bgt...harga murah lg crazy deal... brg nya bagus...thanks mybamus.. Lazada..,5
baguuusss🥰,5
"bagus bnget, ga nyesel deh belanja d toko ini 😊",5
"baguss
",5
