review,rating
"alhamdulillah tanaman diterima dalam keadaan segar, mudah2an tanaman dapat tumbuh dengan baik, in sya Allah ",5
"pohonnya sudah sampai,Semoga bisa tumbuh..packing nya rapi,kurir nya ramah, terima kasih seller terimakasih lazada..",5
sampainya sangat lama dan bibit pohon anggur daunnya layu dan rusak. perkiraan sampai tgl 15 agustus tapi sampai tgl 16 agustus. mudahan bibit pohon anggurnya tidak mati.à00,1
"penjual tidak tepat janji..katanya klu bibitnya mati akan diganti, sy lapor klu bibit yg sy beli mati semua ( pengiriman 18 hari dari estimasi penjual 3-4 hari ) dan sy krm fotonya tp pejual ngak konsisten dengan janji..ibarat kata untuk penjual.. yg penting jualan  sy laku keras soal bibit mati itu urusan pembeli bukan urusan penjual..",1
mendarat dengan selamat ..masih segar dan lebih dari 3 batang .....matur suwuuuuuuuunn.....Joss poko'e,5
bibit anggurnya dh sampai masih segar semuanya semoga bisa tumbuh subur dan buahnya banyak makasih lazada juga kurirnya sukses selalu buat semuanya ,5
"agak sedikit kecewa dengan lama ny diperjalanan ny aja siih.
mudah²n tumbuh dan berbuah walaupun agak layu pohon ny'
mohon doa ny aja....bos",5
"Alhamdulillah ga nyesel beli disini pohonya udah sampai, masihh hidup emang ada yg aga Kerim sih sedikit cuman puas lah belanja di sini ga nyeseo Rekomendasi deh tokonya ",5
"paket mendarat dengan mulus.
bibit berdaun segar tidak tampak layu.
H-1 dari estimasi kedatangan. 
sayangnya tidak ada info jenis anggurnya.
btw semoga tumbuh subur dan cepat berbuah.
tks all",5
Paket dikirim seperti gini kak? Akarnya semua kemana yah kak? Cangkoknya seperti itu kah? Parah ini yg jualan 😱,1
alhamdullilah sudah di tanam... pengiriman cepat mantap semoga tumbuh subur.... ,5
pohon anggur yg datang pada mati bisa digantikah,5
"Kecil banget...
semoga aja bisa tumbuh...
selebihnya oke....",5
Barang sesuai pesanan.pohon masih seger.paking rapi,5
mantaap...brg nyampe msih seggood joob lah,5
alhamdulillah ga layu .walau 4 hari menunggu,5
"sy pesen bibit anggur
bukan kayu bakar",1
"Alhamdulillah,,pohonnya masih seger pisaaan,,mantap,,bosquee jangan ragu beli di lapak ini",5
Daunnya masih bagus semoga aja bisa tumbuh ga mati,5
"Saya kecewa dengan pesanan saya ini. Tanaman yang saya terima daunnya sudah rontok semua dan mengering,  yang 1 batang tunasnya sudah mengering dan yang dua masih hijau. Tanaman saya rawat sesuai dengan petunjuknya dan kalau tidak tumbuh saya mohon untuk digsnti",5
pohon anggurny mati satu dr tiga pohon yg sy beli.sejak awal dtanam tdk ada tanda2 pertumbuhan,5
"Bibit sampai dengan selamat dalam keadaan msh bagus, walaupun beberapa daun ada yg layu. Dan ada yang sudah keluar bunga. Awalnya saya kira bakal mati karena ±seminggu barang dikirim. Cuma sedikit yg disayangkan, tidak ada label nama jenis bibitnya sesuai permintaan. But, overall its okay..
thx lazada n seller",5
Bibit anggur yang saya terima dalam kondisi daun dan tunas sudah mengering dan mati kecuali 1 batang yang masih berdaun dan tunas masih hidup. Dari pengalaman saya dari tiga tanaman itu dua tanaman sudah pasti tidak akan hidup. untuk itu saya tidak dapat menerima bibit tanaman ini. mohon tanggapannya,5
maap saya baru bisa komen puhun udah saya Terima puhunnya layu sayang pilek nya pelastik putih kaya tukang sayuran ini puluhan pa bukan sayuran,2
"Bibit diterima 1 hari setelah estimasi tetapi masih segar, beberapa daun ada yang rusak karena pengemasan, bibit sampai sore hari agak layu lalu disemprot sedikit air malam sudah terihat segar. Semoga hidup dan berbuah. Thanks. ",5
kondisi tanamannya masih bagus daun agak layu .tp wajar ..pengiriman sesuai estimasi 3 hari dri ngajuk ke bekasi .packing rapih ..mantap ..trimakasih,5
"maaf kenapa pohon anggur nya g ada akarnya ya.yg 1 uda mati total  .. yg lain g ngerti dah mo blg apa. memang murah harga nya tapi mbok ya yg amanah kalo jualan
mas kurir nya uda langganan .dia aja shock liat nya.
semoga berkah ya mas jualannya",2
"sudah terima bberpa hari lalu, bener ada 3 pohon, yg 2 ada daun dan akarnya,yg 1 batanga doang sdh item sm sekali gk ada akarnya",5
"Paketan mendarat dengan cepat,,walau aga kecil bibit nya alham dulilah masih segar,,,Peking rapih,,kurir nya ramah,,,mksh Lazada",5
"Alhamdulillah.... bibitnya UD sampai ,sedikit layu to setelah d taanm daunnya UD segar lg.. makasih lazada, kurirnya ramah 🙏",5
"alham dulilah barang dah yampe dengan selamat dan daun masi seger tapi kecil tapi ga papa,mudah2 tumbuh dn berbuah,cuma ko ga da keterangan mana yg ,ijo merah,itemya barang sesuay pesenan,makasi bayak lajada
",4
"Pohon anggurnya sedikit layu, tapi gpp mungkin memang karna terlalu lama di perjalanan, Overall Mantap👍",5
"alhamdulillah barangnya sudah sampai...daun semua aman gakda yg rontook, malah kelihatan masih segar"" semoga bisa tumbuh subur dan berbuah....puas blanja di toko ini harga murah real pict
",5
"Barang mendarat dgn selamaat n masih segar, smoga berkah, amin
Sangat memuaskan beli 3 bonus 3 👍🏻👍🏻👍🏻👍🏻👍🏻",5
"saya sangat kecewa dengan penjual, seharusnya kalau untuk bibit pengemasannya jangan dibungkus rapat didalam kardus, harusnya bagian daun tetap terbuka, jadi pihak pengiriman terlihat dan bisa hati hati, itukan mahkluk hidup, jelas matila, orang saja kalu di packing dalam kardus bisa mati.",1
"ternyata kecil , tp ga papa mudah mudahan tumbuh dan berbuah sprti digambar, terimakasih Lazada , terimakasih as abang kurir, pengiriman lumayan cepat, mantap .",5
memuaskan bangetttttttttt 😘😘😘 pohon nya masih seger. aku kira pas dateng bakal layu atau sisa batang ternyata pas dateng trus di buka msih seger bngt😁😘😘,5
Maaf baru ngasih ulasan tanamanya hidup sesuai harapan kurir ya dah langganan jadi g perlu tanya2 lg,5
"Sampai jam 20:00 MLM dan Alhamdulillah GK kering Mash seger...Tp GK ad Lebel batang merah,hitam dan hijau....GK papa, makasih y
",5
