review,rating
"paket sudah sampai,, mantap sesuai pesanan 👍👍👍
makasih semoga toko nya laris banyak order,,
makasih juga buat sealer nya,, udh anter paket nya moga sukses 🙏🙏🙏",4
"bagus , packing nya juga rapih bubble wrap nya berlapis² jadi ga takut akan pecah , barang nya mulus ga ada yg cacat , mas kurir nya baik , terimakasih buat mas kurir & lazada , next order Lg 😁",5
"bagus banget...pengiriman sangat cepat,pruduk nyampai dgn aman...next order lagi...",5
😍Makasih ya.. kemarin sempat ada yg Retak 1 dan sudah diganti tapi retak lagi.. tapi gpp q ttp kasih bintang 5 karna sellernya baik... 🤗🤗🤗,5
Alkhamdulillah mndarat lg pecing rapih dn aman jd barang ga pecah😍 pertahankan yh aku udh pesen 2 kali brang ttp mantul,5
"Terimakasih barang sudah mendarat,ak suka dengan peckingnya sangat rapi,niat bngt jualannya,Ayuk buruan pesen di toko ini aj",5
"Bagus bgt aq suka,dan ga ada yg lecet",5
"paketnya sudah saya terima, bingkai nya realpict banget, gak ada yang pecah karna packing nyaa rapihh bangett bangett bubble wrap nyaa teubelll banget. pokonyaa recomendedd banget nihh toko. mkasih lazada makasih seller nyaa i like it😂😂♥️",5
Alkhamdulillah pengemasan bagus jd barangnya aman tolong pertahanin yh biar planggannya mkin bnyak dn syuka😍,5
"bagus bgt Peking rapih, makasih lazada....",5
Alhamdulillah nyampai juga dengan baik ga cacat d kemas dengan bagus sangat memuaskan makasih lazada,5
suka banget makasih yah lazada .Abang kurirnya juga udah langganan aku 😊makasih juga buat Abang kurirnya .aku puas belanja di lazada ,5
"ini gimana yaa pesanan nya malah yang satu pecah mana yang pecah plastik nya udah kebuka apa emang d krim figora pecah inii
minta pertanggung jawaban nyaa ya kecewa bnget
satu nya pecah gak karuan dan plstik dalam keadaaan kebuka",2
Bagus gk ada cacat sedikitpun.Terimakasih lazada,5
bingkainya smp dgn mulus tdk ada yg cacat ...mantap paking rapi .. makasih ...,5
"barang nya ud nyampe, bgus pokok nya, mkasih lazada ",5
baguus bangeet,5
"Barangnya Bagus,,  sesuai sama gambar
Tapi barangnya Pecah satu😟,, 
Entah apa yg membuat dia pecah,,  Saran aja sih kalau Packing selah diantara Bingkai satu sama bingkai dua di isi pemisah,  kayak bubble gitu,,  biar engga pecah min,, 😟😟😟",5
"baru kasih ulasan. 
pengiriman cepat packing rapih barang sesuai pokonya mantuk deh😘😍",5
"pesanan sesuai gambar . terima kasih lazada...kurirnya juga ramah..
",5
Maaf baru kasih ulasan... Barang pecah padahal packingnya sdh bagus,3
Bagus dan tidak mengecewakan,5
"bingkai nyaa bguss akuu sukaaaa gk kecewaaa.
",5
barang sesuai pesenan tpi syg kaca nya pecah,5
"giamana caranya mau di tukar ini karna tidak sesuai ukurannya dengan pesananku fotonya g bs msuk krn kekecilan sy mnta ukuran 10 R knapa ukuran kecil yg di kirim...mohon di perhatikan
",5
"barang nya bagus ,😊😊😊",5
"pengiriman lebih cepat ,paciking barang sangat bagus dilapisin anti pecah yg berlapis2,trmksh seller,lazada & mas kurir",5
mantullll....,5
thank bagus ,5
"biankai bgus tealpick
tapi 1 pecah
tapi nggak ap2lah
thankz lazada😍",5
"puass bangett barang nya baguss tidakk lecett ..

mantapp ..

terimah kasih lazada🙏🙏🙏👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",5
"paketnya sdh dtng..pengirimannya agak lama,blm aq bkin..moga ja aman ngk ada yg pecah...mksh seller n lazada..",5
"semuanya bagus barang gak ada yang cacat realpic,
cuman pengiriman agak lama",5
bagus 👍👍👍cuma agak kekecilan utk UK. foto yg mau q pasang jadinya di gunting pinggiran fotonya 😅,5
"Thx pesanan nya udh sampai tp agak lama pengiriman nya,kurir nya ramah n baik.bingkai na cuantik bgt aq suka🙏👍makasih lazqda.",5
"Mantul bgt, barang realpict bgt, murah lg, klo beli di tmpat foto kopi 1 bijinya 25rb gak bisa kurang padahal mah beli nya lebih dr 2. Top deh, makasih seller dan lazada",5
alhamdulillah barang uda kami trima bagus lucu Mudah2an kedepanya bahanya lebih baik n bagus lagi kurir ramah tamah baik hati makasih Lazada ,5
"barangnya bagus cuman pengiriman tidak memakai buble warp, padahal fragile",1
"semoga keadaanya baik g ada cacat baru terkirim
",5
bagus paket mendarat dengan selamat👍👍,4
sdh trima barangya bgs trims ,5
bagus bngt,5
bagus,5
bingkainya bagus..,5
"barang'x bagus, sesuai gambar... kurir'x jga ramah... makasih lazada",5
barang nya udah datang tapi sayang ada yg pecah satu tapi gpp masih bisa di pake,5
pas bngt rel pict,5
mantul barang y👍,3
"realpic bnget,, rapi bnget dn aman gk ada yg pecah,, ",5
"sesuai dengan yang di 
pesan kan",5
alhamdulilah barangnya bagus pokoknya ngga nyesel deh ,5
mksi sgt perfek,5
Barang sesuai.. Mksihh lazada,5
"Bener"" kcewa coy pecah satu",1
keren bingkai ny 👍👍👍👍👍,5
barang nya bagus.. seler nya respon cepet . mksh buat toko ini.,5
"lumayan...
",3
maksih lazada,5
"bagus,dan Alhamdulillah gak pada pecah,,mkasih ya 🥰",5
"bagussss.,, makasih seller sukses terus lazada",5
paketnya sudah datang tadi paketnya sesuai dengan gambar pokoknya pas banget deh makasih ,5
aaah gemess bner2 amanah tidak ada kerusakan dan kecacatan,5
