review,rating
"Thank you lazada.  Barang udah nyampe dengan selamat dan blender nya aman. 
",5
Semoga awet🙏🏻,5
"terima kasih barang aman sampai rumah...enggak kecewa loh blanja disini, saya kasih bintang full untuk d sini...pokoknya nggk bkln kecewa",5
"bagus barangnya lengkap, paking rapih dan aman, barangnya bagus pokonyaa kacanya tebel, yg kecil trnyata pisaunya 1 ya, kirain ga mempan buat motong trnyata tetep kenceng bagus, hadiah buat ibuku dan dia sneng bgt, makasih yaa ",5
"Alhamdulillah akhirnya datang juga 
Terimakasih lazada walaupun aga lambat pengiriman nya tapi tidak kecewa barang ny pun untuh semoga awet d pakenya 
Terimakasih juga buat aa kurir nya baik dan ramah ",5
"mantul lah pokonya😍, kacanya jg tebel,kokoh, semoga aja awet ya...
buat mas kurirnya makasih🙏,kasian Ampe larut malm.",5
"barangnya bagus dan cepat sampai, sudah 2 kali belanja disini hasilnya memuaskan.
ayo yang lain buruan belanja di toko ini...",5
"sudah sampai, makasih lazada.. bagus banyet saya suka.",5
"Terimakasih Lazada.....barang atau paket sdh diterima dengan baik.....packing rapi & memuaskan....tidak ada yg pecah..... setelah dicoba tidak ada yg rusak..... berfungsi dengan normal dan baik....
",5
"alhamdllh,pket nya udah nyampe,jga barang nya dtg dngan kondisi bagusss,packing nya rapi,realpick pula terima kasih ... jga aa kurir nya baik ramah pula terima kasih 🙏,pokok nya gk ngecewain 
",5
"barangnya dah sampe tpi blm sy bka mudah bagus barang dan ga ada yg pecah y kak,,trima kasih lazada,,,,good deh,,",5
mantap pesen selasa rabu sore udh dteng capett bngtt brng nya bagus pas saya coba mksihhh,5
"bagus.kacanya tebel bngt...paking aman...berlapis2...
mkach seller lazada n pak kurir",5
Ada yg patah dan lecet blender nya..padahal kemarin pesan pertama kalinya bagus. Pesan kedua lecet 😑😑😑,1
blendernya sangt2 bagus dn cantik..sya sngt suka pekingnya sangt rapih pokonya terimakasih seller dn abang kurirnya...,5
"maaf baru kasih ulasan barang nyampai dengan kondisi bagus ga da cacat... tapi blm di coba 
mudah mudahan aja berpungsi dengan baik..
makasih seller merespo dengan cepat..kurir ny juga ramah .. makasih lazada ,seller n bang kurir..",5
"Bagus blendernya, dan ga ad yg cacat. Moga aja awet. Packing lumayan aman sih. cuma transpraran.
Pengirimin ct bgt sblm estimasi.👍👍👍",5
"Alhamdulillah blendernya sampe tanpa cacat
suka banget sama blendernya
cuma sesuai harga lah hehe
semoga aja awet ( gak ada kartu garansinya BTW )
makasih kak",5
"Barang sdh sampai dngn baik pokok y mantul barang y rearpich moga awet mksh buat bang kurir y sdh langganan,,,",5
mantapp real pick...gak da lecet sama sekali mulusss...untung babang kurir nya..dah langganan..good job👍👍,4
"brangnya bgus realpict,😍 sya suka sx
kurirnya juga rmah😊",4
"barangnya yg datang rusak
dan juga tidak lengkap
saya kecewa bangettt.lain kali kalau mau kirim barangnya.tolong di cek dulu. lengkap atau tidak.biar tidak ada yg dirugikan",1
"pengiriman 2hari lebih cepat dari waktu yang dijanjikan,barang bagus tidak ada yang cacat.pokoknya puas ,nggak kaya yang aku pesen blender kapsul .pesen tanggal 5 Mei masih dalam proses terus nggak dikirim2.",5
Paket nyh udh sya terima .. dan berpungsi degan baik .. terima kasih lazadaa😘😘😘 next order lagi .. pertahan kan kualitas 🥰🥰😘😘😍😍,5
"maaf Bru kasih kbr blend nya udh diterima,, bgus bgt pokoknya jempol bgt toko ini trima kasih lazada

",5
Alhamdulillah puas deh blnja d sini bagus banget..realpic bngt trmksh toko..moga tmbh jaya juga sukses amanah sllu ,5
barangnya bagus dan sesuai gambar👍,5
"terimakasih,bagus banget",5
"barang sudah sampai
tp sayangnya pecah gabisa dipake",5
Blender kacanya hancur berkeping2,5
kurir ramah paking rapih barang bagus..berkah  😂,5
barang nya bagus cocok dengan gambar..blender nya mantap..,5
"termakasi
mntap dah pokok nya ssuai psanan
proses seler cpat 👍👍👍👍👍👍👍",5
"barangnya mantap
makasih lazada dan tokonya",5
Sangat bagus 👍👍,5
"sesuai digambar
bagus banget dan. berfungsi dengan baik",5
oke sesuai harga,5
"barang udh dteng, mantull",5
mantap poll,5
"blender nya sangat bagus , semoga awat pemakaian nya ,makasih ya buat kulir nya 
",5
barangx bagus pokokx puas belanja dilazada udh belanja berkali kali gk pernah kecewa,5
mantap ..👍,5
cantikkk kok,5
bgus bnget smoga awet y brang ny,5
termakasih lazada barangnya mantul saya suka banget,5
barang dah nyampe rapih dan bagus jg barang nya tenks LAZADA,5
"makasi produk y asli da langsung di pake pokonya puas banget....
",5
"bagus warnanya cerah, semoga awet ",5
"kerennnnn banget

",5
bagus barang nya 👍☺,5
mf baru ngasih ulasan...barang nya bgs.mendarat dgn selamt..,5
mantap....semoga awet,5
"Paket datang cepat, kurir sangat ramah, paket yg dikirim sesuai pesanan, packing rapih dan aman.",5
👍👍👍👍👍👍👍👍👍,5
"terimakasih lazada brang bgus sesuai pesanan tpi knpa ya ttupnya ko ga pas logor...  😐😐.
",5
"sesuai pesanan gada yg cacat. .paking sangat"" rapih makasih",5
"alhamdulillah barang datang dengan selamat, makasih :)",5
lumayan bagus dgn harga segitu 😊,4
barang tidak mengecewakan .sangat puas .👍,5
sesuai harga.kurir ok.mksh laz,5
mantap,5
bagus,5
Mantap,5
