review,rating
"bajunya lumayan bagus, cuma agak tipis dan pas bgt dibadan babyku umur 4 bulan..",5
"bagus bajunya,tulisan namanya juga pas ,pesanan cepat diantar,kurirnya ramah, bahan bajunya adem  makasih ya kk ",5
Suka banget baju nya Bagus bahan nya adem tebel .makasih,5
gumushin bajunya 🤗🤗,5
"makasih gan suka deh sama bajunya..
meskipun pengiriman nya agak lama di lazada nya tapi puas sama barangnya",5
"bagus😍 cepet pula prosesnya..
aku pesan kupluk custom ditoko sebelah masha alloh lamanyaaa padahal pesannya duluan yg onoh datengnya cepetan yg ini. malah yg onoh blum proses ke kurir ampe skrg🤦🏻‍♀",5
"Respon cepat
Pengiriman sangat cepat
kwalitas ok
bagus sekali saya suka
kurir ramah
terima kasih lazada langganan saya",5
"Makasih sudah amanah dengan pesanan saya alhamdulillah real pict pokoknya ini recomended banget, maaf baru ngasih ulasan ",5
"suka sekali baju'a😍😍😍
ada g sih ukuran yg lebih besr'a soal'a klo anak'a gendut pasti cepet ga muat,😁😁😁",5
barangnya sih bagus bgt semuanya sesuai cuma pengiriman lazada tuh lama yaa syg gbsa pilih ekspedisi,5
"pesanan sudah Sampai, Bahan adem dan Halus, Puas sesuai pesanan, Mudah2an ada yg Model +  celana yg Ada Kaos Kakinya 😊",5
"bagus banget bajunya, suka bgt😍 next bakalan order lagi😊",5
"baju nya sesuai pesanan, bahannya bagus, pas buat anak kembar saya 😊😊",5
"uda sampe
ga nyesel lah belanja disini
sesuai keinginan
makasih",5
"maaf baru bisa kasih ulasan 🙏 paketnya udah sampe. fast respon.. pengiriman nya juga cpt. best seller and best ekspedisi 💕🥰
dan jumper² nya cute bangeeeet.. 😍 hasil sablonan nya keren 👍 kaosnya adem, pas dipake baby ku 🤗 recommended seller deh! ",5
"Alhamdulillah pesanan dah smpai, amanah dan bagus bgt bajunya😍 thx u seller, kurir ramah krna dah langganan hehehe.",5
"alhamdulillah  bajunya bagus,  bahannya adem lagi..  makasih lazada dah nganter paketnya dgn sempurna.. ",5
"bajuu baguss bahan tebel dn melarr, kurir langganan jugaa sellernyaa ramahhh..pertahankan kualitasnyaa",5
"pket sudah sampai,, trimksih buat lazada dan abang kurir
 baju nya bgus,tpi beda warn beda pula bhannya,
warna abu abu dan hijau telur asin teball.sdg yg biru tipis dan nerawang
tp ttp suka,smga ckuo untuk baby mungilku",5
barang ok. nama sempurna. bahan adem. thanks kk n lazada . kalian mantul👍,5
alhamdulilah nendarat dengan selamat .. bajunya bagus .. makasih seller ,5
"bagus bgt, tapi syang gak muat smpe 6 bln kya ny, buat anak ku yg baru lahir aja hanya longgar sdikit, 
tapi bahan adem puas pko ny",5
realpict bnget sumpah ihh lucu 💙,5
"top markotop bajunyaa, banyak yg tanya beli dimana wkwkw, terimakasih 🙏😊",5
RealPict bgt😍Makasih next order🤗,5
"barangnya bagus..tanks lazada. biarkan bintang yg menentukan

",5
Bajunya bagus bngt bahan nya adem👍,5
"Makasih kak,bajux pas, dan bagus banget.
kainx jga tebal dan adem
",5
"nice bnged👍
cuma pengiriman yg lama.",5
Lucu bangetttttt💓💓💓💓bahannya juga bagus banget💓 kurirnya juga ramah🙏udh langganan sma kurir dery s. ,5
"Sesuai Design yang dipesan. Fast Sending. Fast Respons. Yang paling penting, penjual komunikatif. Good job👍",5
"bahan ny oke g panas buat bayi,,print tulisan ny juga oke pengiriman cepat respon penjual so fast..overall oke",5
"alhmdllh bju ny kereen bli 3 v yg satu g smpt d fto krn udh d ksih k ade. v syg bgt pdhl anqu blm ad 2 bln bju ny udh smpit.pngirimn cpt,kang kurir ny udh lnggnan bngt,",5
terima kasih lazada pesanan udah diterima.bahan adem.,5
