review,rating
"kecewa sy beli prodak ini...masa 25wht kalah terangnya sama 15wht ..yg sy pesan kemarin...jujur sy kecewa bangt....malas sy beli prodak kuke...
",5
tidak sesuai pesanan,1
mantap banget sesuai gambar ,5
Barang berfungsi dengan baik terima kasih,5
mantaabbbbb pokoknya..👍👍,5
barang bagus puas,5
barang is the best,5
blom aku coba. tapi barang sampai dengan bagus.,5
Barang mendarat.berpungsi dengan baik.cuma aga lama datang.tpi g ppa mkasih buat smu aja.,5
"barang sudah dtang tapi blm tak coba,moga ajh lampunya hidup..
trims lazada",5
barngnya bagus tpi lom di jjl semoga berfungsi maaf baru kasih ulasan ,5
gak cocok,2
barang belum sudah sampai. . tp belum d coba. .,5
💯👍💞,5
ok,5
