review,rating
"botol susu ny lucu
",1
Bagus bakalan langganan beli botol disinih 🌼,5
"sangat puas bagus mksh 
kurir dah langganan..",5
di chat mintanya tutup yang warna biru di kirimnya yang warna ping,5
"Mantap 👍🏻 pentilnyaa juga lembut, aku pesan 2 ",5
bagusss sesuai,5
oke banget ,5
"barang ok sesui baguus bgt lucu...😍 
  kurir ya ramah udh langganan...😊..",5
"so cuttee
",5
"bgus botol nya , packing jg rapi top pokoknya..
cuma empeng nya lubang nya kebesaran untuk umur 1bln.
ank ku tersedak trs😥",5
"botol susunya bagus, real pic, no reject, isinya komplit banget, bahan plastiknya tebal free bfa, sesuai dgn pesanan pembeli warna Hijau, bagus buat kado, packing baik & rapih pake buble wrap",5
keureeeeennnn,5
barang sudah sampai Tks ,5
"lucu botol nya bgs jg pengirimannya cpt
",5
"ih....botol nya unyu"" bngt
mksh lazada 🙏🙏🙏",5
bgus..tp lubang ny trlu bsr,5
barang sudah sampai dan mungil dan lucu bangett..,5
"paketnya udah di terima.. botolnya lucu, suka. tq seller n lazada",5
"bagus realpict banget, gk nyesel beli disini rekomend banget😍",5
"baguss tapi bolongan dot nya gede,,,jd anak ku keteteran ng.dot susunya",5
"saya sukaaaaa botol nya imut2😍 real pick pula tuh... gak kecewa deh 
kurirnya jg ramah. mksh lazada",5
botolnya bagus sesuai pesanan...top dah,5
"bagus cakep tajem


















.







tajem gigi nya",5
"Real pict,bagus n lucu dotnya,terimakasih lazada",5
"Alhamdulillah paketnya dah sampe, cepet bgt baru kmrin psen, packing rapih n kurir ramah, barang jg bagus sesuai deskripsi. thanks lazada",5
bagus barang nya.. kualitas ok... pengiriman cepat... kurir ramah muhammad hafiz.. packing rapi... terima kasih ,5
Memuaskan... ,5
"real pic,mungil bgt",5
Barang nya sangat bagus lucu makasih lazada,5
"botolnya udah sampe, bagus banget, lucu, bahannya jg ga pecah dan simple banget dipake nya karna bayi ku baru 2 bulan jd pas ga kegedean, pokoknya makasih banyak",5
"bagus botol dan dot, elastis kenyel sesuai banget",5
Mantap bgets real pict ,5
pertahankan servis kpd pembeli🍼,5
"brang nya ok bgt..syukaa.
pengiriman jg cepet..ok bgt lah.",5
"Alhamdulillah 😘..puAs bngttt brng,ny bagus mungil lucu ,,,poko.ny sngt""memUaskn 👍👍👍",5
ok jg. kpn flash sale lg produk lainnya? d tunggu mau beli lg soalnya. perlu botol untuk simpan asi nya,5
"botol ny mungil empengnya juga bagus anak sy suka seneng dech belanja di toko ini,, makasih ea kak indah botol sm empengnya ny mantullll 👍👍👍",5
barang nya bagus pengiriman nya juga cepet bgt kurir nya rama ..pkok nya amanah belanja di toko ini.   ,5
barangnya sudah sampai packingnya rapi meskipun dusnya agak peok tp barangnya aman tidak pecah gak nyesel deh blanja di lazada...kurirnya sopan sudah langgannan,5
barang realpeact oke 👍💞😘 recomended,5
"Real Pict . 
suka suka suka suka bangeettt ..
",5
mkasih paketan dah nyampai....,5
"dotny lucu bagus sesuai gambar, bang kurir ny jg langganan . tnggal nungguin debayny lahirr😊😊",5
"Alhamdulillah, brg ok, estimasi lebih cpt , kurir ramah, Seller Amanah, Top Lazada, Tq",5
realpict 😀😀😀,5
"batang dah sampe, pokoknya puas deh",5
bagus bgt.....sesuai pesanan...mksh lazada,5
"sangat bagus , lucu sukak bgt 😍",5
real pict gk kecewa dh,5
"alhmdullh yg saya tunggu datng juga mksh mas kurir ...
botol y real pick",5
ok bgt,5
good,5
mantul ,5
mungil aku suka,5
mantap banget ,5
imutttt & lucu bngetttt....mkasih lazada & tokonya...,5
bagus unyuk,5
"botol dot young young bagus banget, apalagi botol dot ini tutup dotnya lucu. ",5
"in juga botolxa  lucu tutupxa lucu bgt ...unyu unyu
 ",5
Makasih barang nya okk,5
"botol nya imut, lucu mksh yaa",5
bagus bgt sesuai pesanan trimaksih yaa ..,5
yng ini juga ok ko . makasih ,5
barang nyampe sesuai pesanan,5
bagus barang nya. sesuai gambar,5
"barang sudah sampai,,sesuai gambar lucu ..terimakasih",5
"bagus ka makasih,pengiriman cepat bngt",5
"barang sudh sampai, terima kasih",5
lucuuuu sesuai pesanan,5
lucu,5
