review,rating
udah langganan di toko ini..barang slu ok..cma packing nya aja diperbaiki..jgn pke plastik hitam ya bauu tau..,5
"Aku syukaaaa bgt ,sampe ngorder lg yg ke 2x..ttp jaga kualitasnya ya,dan Amanah..❣
kurirnya pun udh langganan,baik pula 🤩",5
yg ini SAMA pemilihan warna dan lebih parahnya TALINYAAA RUSAK! ini yg dibilang best seller? jauh kalah sm yg harganya down dibawah ini mereka teliti dalam melayani customer.. thanks,1
Barang datang sesuai dengan pesanan bagus realpic packing rapih pengiriman jg cepat..mantap terima kasih,5
"Pertama x happy krn warna yg di mau dpt..lalu order lg yg ke 2x,dgn minimal order lbh dr 1 dgn beda wrna..tp yg dikirim warnanya sm semua..🤐pdhal ada wrna yg beda hrga yg sy pilih,dan itu  hrgany lbh tinggi..tp barang yg dikirim hrgany lbh rendah..Rugi deh...🤔",2
"brang nya bgus,tp sayang kecil,biasa saya pke no 38 tp ini saya pesan no 40 takut no 38 kecil y,ternyata no 40 kecil lebih besar lg ukuran biasa saya pke no 38..hadee...pdhal klu cocok saya mau pesan lg.😭😭😭",3
"minta biru, dikirim coklat. kualitas barang oke",5
kecil banget,2
"bagus bgt ...
nunggunya mau 2 minggu tp pas datang gk bkn kecewa krn kualitasnya no 1❤",5
suka bgtt realpict bikin PD 😂 intinya Keren cantikk bgtt makasih lazada😙😙,5
Sesuai gambar dan pesanan ,5
kurang bagus,3
"barang real pic, tpi ga muat pesan size 38,tpi kecil",3
Beli yg kedua kalinya malah sobek ,1
barang sesuwai gambar bagus terimakasih lajada ,5
Suka banget dan pas dia aku bahannya halus next beli lagi sering buat promo ya ka.,5
"Bagus Banget 👍
Thanks Seller 👍
Great job 👍",5
kecil banget walaupun da dipilih ukuran 40,5
"salah warna , minta hitam yg dikirim navy. ",4
"barang bagus sesuai yg sy pesen
cm size 38 berasa kecil bgt.. beda dr size 38 yg sy tau",5
recommended,5
recommended,5
recommended,5
bagus sesua dgn harga terimakasih LAZADA semoga sukses selalu.,5
"barang sesuai pict,nyaman dipake nya,dan warnanya sesuai pesenan,sy suka",5
siz 40 kcil d cup nya lingkar dda ny pas . bhnya lembut .,5
Minta cream dikasih coklat gimana bisa dituker ga,1
"kekecilan
",5
sesuai,5
mksh,5
👌👌👌,5
bagus ,5
real pict,5
