review,rating
yang saya pesan kan brasket tv kenapa yg dikirim beda sm yg pesan... baru kali ini kecewa!!! paraah!!!,5
Oke barang sudah datang dangan baik 👌👍,5
"maaf baru kasih ulasan, barangnya OK, packingnya juga rapi, si mas kurir juga baik bgt, tapi sayangnya gk punya bor beton, jadi pake paku beton aja yg penting aman dan lancar jaya, terima kasih seller dan lazada :) ",5
"dideskripsi untuk tv 24 - 21 inchi...saya chat sellernya,bisakah untuk tv 32"",dia bilang bisa...eeh ternyata memang bisa..sellernya gak bohong...good recommended. ",5
seuai,5
oke..barang udah dipasang pas lubang skrupnya..pengiriman lebih cepat dari yng sudah ditentukan..material kuat skrup nya juga udah lengkap,5
"sedikit kecewa min,, di keterangannya itu buat ukuran 14 - 24 inch,, tv sy 24inc,, taunya pas dicoba kecil bgt,, kykny cuman ckup buat 14inc ajh,, tolong di perhatikan lagi keterangan barang yg akan djual kiranya memang cukup buat 14inc, ya dtulisnya sprti itu saja,, ga ush bilang bisa cukup sampe 24inch,,, alhasil ujung2nya di akalin dah tuh pke bgtuan,,, untuk kurir ramah,kecepatan normal.",3
braket nya mantap bisa pakek tv 32 inch merek tcl ,5
mantap tapi tau kuat lama gak ya soalnya yg tengah2 nya bahanya plastik tapi mantap,5
sipp...sesuai harapan...trims seller...trims babang kurir.....mantabbb d lazada...,5
"kiriman agak lama,tp brang bgus",5
Barang bagus.cocok untuk tv 14-24 inch,4
". ga sesuai, bilangnya ukuran pas untuk yg 24 inc. ternyata keciL banget barangnya. belajar nipu nih toko... ",1
Yang ini/ breket tv.kok blm.dikirim,1
bahannya tipis,3
trima kasih paket udah sampai,5
ok barang.nya udh samvai vass dengan vesanan sya terimh kasih lazada ya ,5
lumayan,5
sip,5
mantap..sesuai pesanan,5
barang biasa aja,3
mantap barang dh sampe cuma belum dipasang. mudah2an cocok,5
"barang dah sampai pengiriman cepat smoga awet,Makasih lazada.",5
"kecil, tp semoga kuat",5
bagus langsung dipasang pas ukuran nya .,5
mantappp gann 👍👍,5
"Barang sdh datang,,ko beda dengan di gmbar y..g ada tulisan merek y polos.",5
barang ok cuma ada yg g cocok buat bautnya kurang panjang yg untuk baut ke tv nya,5
brg oke sesuai pesanan. mantul. tks lazada n seller,5
Top markotop,5
good,5
"Barang sesuai deskripsi, pengiriman sesuai waktu yang ditentukan",5
