review,rating
"bagus sekali sy suka bros suksek y lazada dan makasih dah g salah kirim nya kk
sangat suka sekali sy bros nya mantap deh ah bros nya kk",5
"bagusss sya pikir kecil tau nya gede jadi seneng bngt deh.... aturan dtng hari rabu berhubung sya ga ada jd baru hr ini nyampe nya, terimakasih ya abang kurir nya udah langganan",5
bagus semua brosnya walaupun yg satu gk sama persis di gmbar tp gpp tetap suka packingny jg rapi pake kardus jd aman gk ada yg cacat mksh ya udh melayani dgn baik 👍👍👍👍👍                    ,5
terima kasih brosnya saya suka tapi saya blm liat soalnya saya blm pulang jadi saya jamin bronya cantik sprti yg di gambar mksh banyak kurir ramah tks lazada sukses selalu,5
sangat bagus kak.. realpick,5
trmksh mantep barang dah ditrrima ..... dikemas rapi pake buble wrap....mantul,5
cantik harga murah puas,5
bagus lumayan deh.. sukakk..,5
trimakasih bagus,5
aslinya cantik dan hiasannya unik gx pasaran 😊,5
mksh lazada pesannya udg smpe cpt lgi aku suka ,5
cantikk..sya suka...😁,5
Sesuai pesanan ok,5
bagus sesuai harapan....,5
"mantul semua tdk ada yg bikin kecewa,kurir selalu ramah, tks lazada dan seller",5
Bros ya cantik tp syang kirin 2 eh yg dtng cmn dua tp gk papa lah makasih lazzada kurir ramh ,4
👍 👍 terimakasihh,5
brosnya cantik2 makasiiiih....👍👍,5
suka banget...,5
"barangnya lama bnget datang nya,,,  tp tidak ap brng bagus",5
bagus semua,5
"cantik bgt,, packing rapi pk bubble sm kardus,, pgiriman lama,, tingkat kana lagi ya pgirimannya",5
bagus banget sesuai gambar gk nyesel deh beli disini,5
"real pic,cepat datang..",5
yaa bagus lumayan,4
alhamdulilah psn 5 bagus semua,5
"bros nya bagus2, puas saya, makasih lazada n seler pertahankan mutunya",5
"Bagus,kirim cepat,kurir ramah",5
bagus bgt.. langganan deh pokoknya,5
bagua adik sama tmn2 ku pada suka ,5
suka bnget cantiiik kurir seperti biasa baik udah lnggann makasih lazada n seller ,5
cakepppp,5
bagus,5
sukaaa,5
oke banget,5
cantik,5
bagusss ,5
bagus ,4
😍😘,5
