review,rating
"Alhamdulillah, pesanan sudah diterima dalam keadaan baik, seller nya responsif, kurirnya ramah .Makasih buat LAZADA dan seller nya. ",5
terimalasih sdh sampai..,5
"cepat banget..udah nyampe aja..Alhamdulillah terasinya enak...makasih seller,lazada",5
Terasinya enak.. Tinggal pakai dan kemasannya bagus... Harganya terjangkau sekali,5
tnp digoreng lg..istimewa enak,5
Terasinya nggk usah di grg...tinggal bikin sambal aja....top enaknya,5
"eunak rasa trasinya ,",5
Mantul,5
"Keren, terima kasih barang telah diterima dengan baik thumbs up ",5
blom dicoba semoga enk dan jd lgganan,5
lumayan,5
