review,rating
"pilus nya enak dan gurih, kerasa bgt cikur nya.suka bgt👍👍pengiriman cot!!! klo ada yg complain kok pilus nya keras... yg saya tau dr dulu pilus cikur ini memang seperti ini, gak serenyah seperti jajanan kemasan yg merk pilus. ",5
"enak renyah kemasan bgus jd g ancuur pakai kardus n ad tulisan jgn dibanting 
bgus pokoknya kurirnya ramah",5
"pilus cikur'y keras ..sy kecewa ...sy coba bikin boci (baso cilok)sendiri dl sblm buat d jual...sy pakein pilus cikur dgn kuah yg panas .pasti mantap ada pilus cikur'y eeeeeeeeeeeeh pas d mkn pilus'y keras...sy kecewa bnget..
",1
"Alhamdulillah paket nya sudah sampai dan MasyaAlloh enak banget terus berasa banget lagi kencur nya.. 
Terima kasih LAZADA.. ",5
makasih akhirnya datang juga mantap 👍👍👍,5
maaf ya kali ini kasih bintang 3. Customerku komplen  biasanya renyah pilusnya skrg jd keras. mohon konsisten lg untuk texturnya karna sy order rutin,2
"Terimakasih kak,pilus'a enak bgt..pas bgt di lidah,sukaaaa🤩pengiriman cepat,packing ok bgt..recommended bgt ini mah ",5
baru sampe bngt paketan ny..mkch bwt kurir ny baik jg ramah lucu pula org ny...untk packing oC la 👍 bakal jd langganan ...thanks lazada..🤗,5
"poko nya sesuaisama yg saya mau😍 kk mksh .
dan  mksh juga kurir nya baik bngtt alhmdulilah . smkin maju LAZADA 😘😘",5
"pesanan sangat memuaskan dan sama dengan yang difotonya, pengiriman juga cepat dan membungkus nya rapih👍👍👍👍",5
"alhamdulilah,kue2 nyah dah sampe enak2 bnget gurih,makaroni SMA pilus cikur nyah mantab,",5
datang dengan selamat 🙏🙏😍😍😍😍😍,5
psenn sampe maaf tlat ksih ulasan ,5
enak bgt..aku suka 👍🙏,5
si kecil mungil yg kaya rasa... love it❤❤❤❤❤,5
Pilusnya dah sampai ..enak tp keras bgt..bagi yg msh punya gigi mah ga masalah ..mksh lazada,5
"pengepakan bagus rapih,rasa kencur nya berasa enak gurih",5
mantul banget,5
kurirnya baik banget.. dan barang ini selalu cpt nyampenya. terimakasih,5
saya  blom mkn tapi mksh lazada  ,5
enak pilusya suka,5
recomend..sukaaaa,5
mantab dahhhh..... ,5
enk bgt,5
Enak kriuk2.. Garem kencurnya berasa bgtt ,5
"rasanya enak, top banget dah",5
kurang kerasa cingur,5
Enak👍👍🤤🤤,5
Manataaaaaappppppp,5
mantul... ,5
Mantul,5
ok lah ,5
Enak,5
