review,rating
"Mantap,.. saya puas, kompornya mantul banget, apinya besar. paket mendarat dengan selamat. Terimakasih. ",5
"barang bagus sesuai psnan hanya belum dites apa bisa atw tdak, semoga sja bisa. waktu pengiriman agak lama",5
"maaf baru kasi ulasan..
barangnya mantap sasuai, terima kasih untuk lazada, terus toko langganan, dan mas kurir langganan.",5
barang bagus sesuai pesanan kurir ramah ya meski agak lama pengiriman ya tapi saya puaass,5
sangat kecewa barang nya Bocor gk bsa di pake Gas,2
mantappppp😍,5
"toko langganan.
ngk pernah kecewa dengan barangnya, terima kasih",5
"Mantapppp kompornya..
Apinya besar
",5
produk bagus semoga awet anak senang,5
mantap terima kasih lazada,5
"bagus banget barangnya,suka banget 😍",5
mantul ,5
mntp,5
