review,rating
"barangnyaa baguss sesuaii jugaaaa❤️❤️ 
abg kurirnyaaaaa bagusss bangetttt ramahh dannn asik lucu wkwk",5
"makasih barangnya sdh sampai warnanya sesuai pesanan ,,bahan nya bagus lembut,,ga nyesel blanja di toko ini,,,makasih lazada,,makasih kurirnya yg baik hati,,,sdh menjadi langganan",5
lumayan harga segitu ,5
barang bagus bngt bahannya juga bagus tapi talinya beda sama yang di gambar tapi bagus ko,5
"Relfict.. Terimakasih lazada
",5
"one size: XL Pink 

bagus sih tapi masalahnya kekecilan, Abang kurirnya baik juga Nggak nyesel deh😊",5
bagus,5
"barangnya Bagus saya suka
",5
mantap barang nya sesuei cuman agak tipis tapi gak papah,5
"okehh brang nya bagus 
",5
realpict. cuma aga tipis aja. ya sesuai price lah,5
barang bagus bngt bahannya juga bagus tapi talinya beda sama yang di gambar tapi bagus ko,5
bagus bgt...saya suka,5
barangnya bagus,5
puas.Banget,5
Sweater nya ok lah dgn harga yg segitu bsa buat harian ,5
"tipis tpi lumayan lah untuk harga segitu..
",4
sesuai pesanan mantap,5
Bagusslah sesui harga hoodie segituh,5
bagus baju nya ank ku suka.. pengiriman jg cepat dateng nya.. trima kasih lazada,5
mantap dah brg bgus kurir ramah pokoknya top deh,5
"Real pic bngttt..gk nyesel poko.y..
Pengiriman ny jga cepat",5
barang bagus pengiriman cepat cuman 2hari sampe kereeen,5
Real fic respon cepat pengiriman cpat,5
bagus..🦋✨🦄,5
bagussss pokonya gk kecewaaa👍,5
Brang sesuai dengan harga mksh abang kurir dan lazada .....,5
TDK sesui tipis kaix baru jaket anak2,5
"good job
barangnya lumayan
sesuai rp",5
kurang puas di lengan baju ada nodanya gak bisa hilang,3
mantap,5
real pict ,5
realpict,5
