review,rating
sangan puas sekali sesuai. dgn gmbar ,4
paket sudah sampai sesuai pesanan... terima kasih..,5
"bagus banget gstring nya,,cuma salah warna pesanan,,smoga kedepn nya lebih teliti lgi biar pelnggan ga kecewa",5
top markotop,5
Bahannya adem dan enak dipakai,4
Lumayan bagus untuk harga segini,5
Terima kasih. ,5
cukup bagus... sy suka sesuai dg gambar.. ,5
Saya memesan kedua kalinya.  kualitas bagus,5
Bagus barang nya,5
mantul..istri sy suka banget.tks olshop n lazada,5
"Mantap, maksih ",5
"sangat bagus, bahan halus ukuran pas.",5
"pesan yg mana yg dtg beda
selama sy belanja dilazada ini seller terburuk yg pernah sy dapatkan",1
muantapppppp,5
ok siiip.....,5
"barang ok sesuai pesanan
",5
bgus,4
👍,5
Super,5
sip,5
very good ,5
good,5
