review,rating
"ukuran tidak sesuai dengan saya inginkan, XL, tp saya pakai kurang pas dngn ukuran yg saya mau, barang datang 2x....jadi saya kasih nilai netral🙏🙏🙏
",3
"kecewa banget,,celananya tipis bnget Uda gtu ukran XL tp yg dtng brgny bs untk ank umur 7 Thun yg make😡",1
"celana short nya lumayan dengan hrga segitu
seller ramah cpt respon
sampai nya juga cepat sblm estimasi
trimkasi seller ,lazada dan kurir walapun baru antar kesini tapi ramah 😊",5
yg dateng Sot terawangan ukuran S,2
"Celana nya gha muat , bolong lgi celana nya",3
cuma 4 ko..,3
"UKURAN XL kecil sekali..gak ada didetail pruduknya .muat bb brpa .
...ya masukan saja .kalau castamer  tanya  ukuran tolong langsung di kasih penjelasan.. jangan baru selesai oder bRu detail ngasi jawaban.Biar sama2 enk.biar bsa buat langganan jg.sini enk situ kn jg enk .. ..untuk pengiran aman peking rapi .lurir jg suda langganan Trussssssssssssssssssssssssss",3
pesan ukuran M eh celana nya kekecilan ini mh muat d anak saya yg umur 4 thn gmn sih ini gk bnt bgt,2
bgus...ssuai dg yg dharapkan..,5
Kekecilan saya kira seperti slek😌,3
"sangt kecewa pesanan tidak sesuai 
",1
baguss sesuai harga ,5
mksih seler lazada kurir baik ,5
"kekecilan , bahannya jga panass",5
jelek bangt🙄🙄,1
bhan'a tpis..,5
nocomen pokonya top dh,5
"jauh sekali dr gambar,bahannya jelek",3
lumayan sesuai dgn harganya ,5
"barangnya bagus tp sayang warna nya tidak sesuai pesanan
",5
"Waow Brg sdh tiba sesuai estimasi & sdh dicek smua brg istimewa sesuai pesanan & brg bagus smua, terima kasih kak next time order lg 👍",5
"Sangat,sangat mengecewakan sekali,,yg di minta saiz 3XL yg di kirim 3L,,kalau stock nya lagi kosong jangan asal kirim ,,kan merugikan customer",5
"barang nya bagus....real pick...tank's lazada,,,,kurir ny juga ramah bngaet...semangat buat kurir lazada....💪💪💪",5
"dengan harga segitu lumayan bagus
",5
"lumayan la,,,dengan harga segitu",2
terlalu tipis,2
"gk sma yg di gambar,,,",2
"yg lejing panjang nya bgus yg tpi yg pendek nya sanagt jelek, d kira bahanya sma kya lejing panjang, gk tau nya brg obral 10rb dpt 3 kya gitumah😎",5
hehe maaf baru kasih ulasan .saya minta L sama XL..datang y m sama XL..bahan y jg kasar gerah lagii..hadeuuh..mana beli ybbanyak..😀😀..gpp sih sesuai harga y..,5
lumayan lach sesuai harga,5
kecewa sekali,2
Sala pilih ukuran jd kekecilan😔,4
Bagus sesuai harga,5
"mantab,dengn harga lumayan murah.",5
"terimakasih , barang sudah sampai dg baik dan rapi, bahannya lumayan tuk harga segitu , murah dapet banyak, pelanggan sukaaaaa😘😘😘😘😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",5
"terimakasih pesanannya sudah sampai packing barangnya rapi, kurirnya ramah, untuk harga segitu lumayan bagus lah ,terimakasih lazada, semoga jaya 
",5
Celananya pas di pakai anak2 q sesuai,5
"bagus,,saya suka sekali makasih lazada",5
sdh sampai terimakasih,5
"bagus lah dengan harga segitu
",5
suka pas di ank saya cocok .tp sayang kurir nya korupsi,5
"bahanya tipis tp sesuai dngan harga...
",5
bagus bngetttt😀😀😀,5
barang tidak sesuai di gambar bisa di balik kan gak ni,5
bagus jg ya dan cepat ok lazada trimakasih,5
bagus ,5
bagusss,5
Alhmdllh dh sapai paket nyh. Brang sesuei dengn harga nyh. Kurir nyh juga ramah mksh ya LAZADA ,5
Mantull bosqu,5
"Bgus bhnnya,, smoga bsa melarr
Fast respon, sukses bwt tkonya 🙏👍",5
kecil banget celana nya,2
bahan nya jelek ,3
"bahannya tdk bagus 
",2
lumayan dengar harga Murmer buat sehari hari di rmh ..bahan nya BKN streat tipis ,3
"sesuai harga, ",3
cocoknya buat anak SD🙄,3
"sya kira ukutan 5l gede eh mlah sma kya ukuran xl,",3
lumayan... mksih lazada,5
"rumayan y untk harga sgtu, ",5
barang bagus sesuai dngan yg di pesan,4
"yang 1 ukuran L yang 1 di kasih ukuran 3L
mintak nya L semua ",2
