review,rating
"Barangnya sudah sampai pengemasan rapi pengirimanya pun tepat waktu mantap dah beli disini bahanya bagus mantull cocok dipakai untuk jalan"" santuy gk kecewa saya beli banyak ukuran dan warna sesuai permintaan saya pas banget suka pokoknya dah...mantapp boleh lah jadi langganan di toko ini trimakasih lazada..👍👍😍😍",5
jauuuuuuh beda... cukup bintang yg berbicara... ,1
"barang nggak sesuai gambar
balas chat lama
maaf bos saya kasi bintang 1",1
"PENIPUAN ANJING!!!
barang ga sesuai sama yg di foto, usaha mah jgn cari untung gede, yang penting bener walaupun untung kecil, gua sumpahin store ini cepet maju dan sukses!!!",1
"Kecewa, kecewa dan kecewa. Pesen wrn krem yg dateng abu2 corak tdk sesuai, size anak2. Kurir sdh langganan. Cukup sekali belanja ditoko ini",5
barang bagus dan dpat bonus...puas blja d toko ini smoga mkin maju usahanya..,5
pesanan ga sesuai di gambar. kalau ga ada  ga usah di kirim sembarangan.  kecewa.,1
salah warna pesan krem yg dikirim abuabu,2
Kenapa yang di kirim celena buat anak 😡,5
Kog kecil sich bukan ukuran dewasa malah ukuran anak umur 2 tahun🤦,5
di kirim celana pendek ukuran anak 2thn parah bner ga di kasih info lagii...,5
Makasih Lazada sesuai dengan harapan,5
.aksih lazadah barang nya bgus,5
celananya lumayan bagus,5
jelek banget masa xl g muat ,1
makasih .barang ya sesuwai dngan d gambar ..cepat lagihh👍👍,5
kurang dan sangat mengecewakan,2
"brg bguslah harga segitu)pengiriman cepat,makasih buat semua rekan2 lazadaa",5
kec,5
"biasa aj

",5
