review,rating
"bgmn ini brng yg d beli 14 pcs ,yg d kirim 5 pcs Ya Allah mn brng dtngx lumaya lama, yang pertama beli nda da mslh, terus sisax yg 9 pcs gmn....kecewa dech itu kk ada no pesananx",5
saya pesen clna bkn rok yg maroon ma hitam sih ya clna tapi yg nevy ko jd rok sih tlong donk ini kn pesenan orang mna yg item belt ny gk da gntungan ny ,5
celana nya pas cuma kepanjangan buat anak umur 6 tahun. celana yg hijau lebih besar ,5
"pas bnget celananya.pesen warna
marun d kirim warna marun juga.anak saya suka...makasih lazada.",5
kayak gitu rok apa kulot ya namanya? setau aku kayak gitu namanya rok. ,5
maknyus....mantul...bagus pisan euy.. anakku suka banget..👍👍👍👍👍,5
bagus sesuai gambar,5
bagus celananya anakku suka,5
Barang nya sesuai digambar tapi saya,4
"klo untuk bahan plisketnya bagus, hnya sayang karetnya tidak dilapisi bahan lagi, sesuai harga sih",4
suka banget barang sesuai pesanan rekomend bgt walaupun pengiriman lama tp puas dengan barangnya kurir ramah,5
"Alhamdulillah, celana nya bagus, pas dianak saya, kurir nya sudah langganan, datang paket nya lebih cepat dr perkiraan. terimakasih lazada.",5
Yeeeaayyy nyampe juga... sayang kegedean dikit... Tapi its oke gapapalah... Puuuaaassss,5
"maaf bru ksh komenan, realfict bgus bhan ny adem, bng kurir ny jga baik, mksh toko & lazada & jng abng kurir ny..😊🤩",5
pick,5
masyaAllah celananya bagus... semoga bisa jadi langganan disini,5
cepat sampe nya. celana nya Bagus. v ga ada kantong nya..heheheeee,5
celananya bagus pesen ke 2x nya top deh👍👍👍,5
Makasih lazada paket sudah saya terima kurir ramah bgt barang jga sesuai pesanan,4
"bagus ,,penjual nya konfirmasi dulu sebelum kirim celana nya soalnya warna yg aku pilih gada..bagus pertahankan..celana nya lumayan bagus kurir ramah..klo bisa 20 bintang",5
terimaksih celana bagus pas di pakainya                           sip dah,5
"semoga z pembeli nya suka,",5
"barang termasuk bagus dengan harga yg lumayan murah..
",5
"Siiiip pokoknya..... 
",5
Yg ke dua x y blnja di toko ini sangat memuaskan ,5
sesuai dengan yg di harapkan ,5
bagus celana'a anak aq suka mksh lazada,5
sebener y sh bgus..cm sayang yg buat umur 10 tahun kecil bgt..ky buat umur 6 tahun,5
celananya bagus anak saya suka,5
makasih lazada sesuai dengan yg sya pesan .,5
bagus anak saya suka banget makasih lazada,4
bagus celana nya tebal GK nyesel deh pokonya beli di sni real pictt bgtt,5
celqnanya bagus bahannya adem sikakak suka banget thanks Lazada,5
warna nya gk sesuai yg aku pesan😞,4
cakep..pas bgt ukurannya,5
"kirain bahannya dari Korea lembut,, tapi lumayanlah buat anak sehari-hari,, panjang teinggg.. ",5
celananya bagus,5
bgs sy ska wlaupun bhan g tbel tpi lmyn dngn hrgnya,3
realfict banget,5
bagus bgt kok😊😊,5
bahannya bagus bngt. ga kecewa deh... 👍👍,5
bgs ank sy ska,3
"sangat tidak cocok,dengan pesanan ,mesenya kulot plisket yg d krm rok plisket,kecewa ",5
tau ah yg Dateng kecil banget,5
"sesuai harga, bahan nya tipis... 
terimakasih lazada",4
barang sesuai..tapi untuk warna merah knp beday bahany sama yg warna biru..kalo merah bahany tipis...tapi anak aq ttp suka👍👌,5
"bagus banget celana nya sesuai dgn yg saya mau. walaupun saya minta nya wrna hitam n moca tp d kasih nya abu sm moca tapi ttep bagus saya suka. buat kurir nya makasih ya ujan"" mau nganterin paket aku. sukses trs ya buat seller n lazada",5
"bagus dan toko ny baik, saya di kadih untuk umur 12 thn, cma jahitan ny kurang rapi aja 🙏🙏makasih untuk toko ny 😁😊😗",5
"barang ok, tpi sayang di adikku kurang panjang dikit,,, umur 8thn kurus tapi tinggi ,,, buat seller mksh ",5
"Pesanannya sudah sampai sesuai gambar..pokoknya top deh toko nya👍gak nyesel belanja ditoko ini🙏
Makasih juga buat kurir yg udah nganterin pesananku dgn selamat🙏",5
"celana nya ok, anak sya suka,,,, thanks lazada",5
maaf y .....sebelum y udh sya chat pesen 2 dgn warna yg berbeda tp dikirim warna sama.....,5
Real pick yaa ,5
"Brang oke,psnan sesuai prmintaan tpi syng kret kolorny g di lpisin lg",5
"bagus celana nya pas ukuranya...anak""sy suka.. next order lagi.. mksh",5
"tidak mengecewakan, sesuai 👍",5
"Alhamdulillah bagus celana kulot nya,tp sayang kependeka buat ansk umur 9thn🤦",5
"sesuai harga, makasih 🤗",5
alhmdllh sesuai pesanan terimakasih kak🙏😁semoga jadi langganan,5
maksih barang nya udah dtang bagus banget sesuai pesanan. maaf baru ngasih ulasan,5
Alhamdulillah.... Muat untuk anakku bagus mksih lazada ,5
clananya bagus bngt.dngn harga terjangkau.bhn jg bagus,5
jelananya kekecilan ukurannya muat sama anak saya🤯😒,2
"celananya bagus,,anak saya suka👍",5
"ok, anakku suka bgt, thank lazada & seller..",5
Bagus..ankku suka..,5
Bgus imut2 clna nya pas di ank saya mantp laah..trima ksiih,5
Barang bagus mantappppp,5
good lah,5
rilfick,5
reall bagus sesuai harga puass bngt,5
Alhamdulillah  barang sesuay dengan pesanan dan warna pun juga tidak salah kirim makasih 👌,5
"Tipis si, tp ok lh hrg sgtu",5
"Bagus, tp k pnjngan buat ankku",5
Barang bagus pengiriman cepat pokoknya top bgt,5
"bahan tipis karet kolor nya kelihatan ga dilipat biar rapih,kurirnya baik",3
"barang nya oke,,,
kurirnya oke
pengiriman cepat tepat,,trimaksh lazada,,,",5
produk realpick,5
barang mantull banget.gak kecewa..cmn pngriman agak lama..tapi gak masalah..,5
"Untuk bahan celana'a lumayan dengan harga segituh...
Tapi ukuran L kekecil'n untuk umur 10 THN 😂",4
barangnya bagus tp sy kecewa warnanya gak sesuai pesanan,4
sesuai gambar,5
lumayan buat harga segitu..sesuai harga ,5
bagus realpick,5
Bagus lengkap sesuai warna..,5
kulotny bgu murhlgi mksih,5
mantap suka sma celananya,5
"الحمد لله

منتف",5
bagus celananya aku suka,5
"goooooddd bngits     brg smpe sblum wktunya kualitas ok punya""   kurir sperti biasa  rmah 2 z",5
maaf br ksh ulasanya g smpt foto udh d pakai sm anak2.mksh jngn ragu lagi belanja d lasada y,5
Barang'y reall pict,5
"Celana nya bagus... Minta yg L malah dkrm yang M... Tpi ga apa"" lah... Sukses sllu... ",5
mantul clananya.anakku suka bngt.ini mlh minta d beliin lg,5
Utk harga segitu sesuai. Bagusss... tpi utk anak 4 tahun kegedean..,5
