review,rating
"aku seneng kalo belanja packing nya rapi bgt jadinya aman barangnya, sampe yg barang mudah pecah di bubblewrap., bisa jadi langganan nihh...
  seller juga ramah😊",5
"mantul saya dan anak saya suka bngt,sisir nya tebel gede lgi,tasnya gede jga bisa buat rantang bekel,kurir ",5
lucu bgt kurir nya ramah kemasan nya rapi juga barang nya sesuai sama yg dipesan ngga nyesel deh bonus karet rambut lagi,5
"waw barang nya bagus bagus padahal harga nya murah murah,bakal jadi langganan tetap ini mah 🥰🥰 Terimakasih",5
"bgus kacae, keadaan utuh,dpt bonus tali rambut makasih.kurir baik n langganan",5
"cermin nya bgs...mskpn di ksh nya yg pink tp anakku ttp suka...mksh kka...
",5
"Perfect, tidak ada yg cacat",5
teriimakasih lazada.. pketny udh smpe.kurrirny baik,5
barang nya udah nyampe gan.. lucu2 sih.. tp sayang kacanya ada yg pacah n patah.. bisa di tuker kan gan?,3
"Pengirimannya cepat,barang yang dikirim sesuai dengan gambar 👍",5
alhamdulillah cermin datang tanpa pecah atau retak..terimakasih,5
"Barang my ok smua, plus dpt hadiah lagi.. makasih ya..",5
"ßarang ok gak ada cacat
mksh lazada
",5
suka banget,5
Bagus bgt real pict. trimksh ikatan karetnya.sukses trus,5
cermin nya bagus realpict. pengiriman cepat. respon penjual cepat. paking rapi,5
bagus banget emang the best toko ini respon cepat dapet bonus pula thank you kakak sukses selalu.,5
realpic pokokx bagus banget dan dpt free spon. thanks. rekomendasi banget order lagi,5
barang ok...,5
"udh dateng☺️
Tapi blm tau barang ny cz aq msh dii JKT..
 Terimakasih ya 🙏😊",5
cantik.bagus banget,5
Kecewa pas datang kaca nya udh retak padahal lucu bgt ,1
"bgus kaca+ sisirnya,besar lg.kurir langganan n baik",5
bgus cerminnya.kurir langganan,5
"Bagus lebih besar dari perkira an saya ternyata, 😚😉",5
bagus lucu,5
Mantap pokokny,5
bagus cantik ,5
lucu bgt dapet yg kuning gemes ,5
luv but cerminnya agak kotor.,5
"warna ga sesuai pesanan, tp gap lah ttp bgus brg nya...",4
"bagus,, ringan dan mungil... ",5
"Kacanya kya bukan kaca😆.v lucu.paking rapih,pngrmn cpt.kurir lnggann",5
bagus,5
bagus makasih bonusnyaa,5
"barangnya bagus,mksh lazada",5
👍,5
Kaca retak tapi diganti dengan pengembalian dana. Trimakasih,5
"Real pic lucu bingit,i like d kasih bonus lagi thank",5
bagus kok,5
kecewa..sy kira kaca ..ga taunya cm kaleng,5
makasih freenya😁,5
suka bnget trimaksih hdiahx kk...lok ad bntang 10 psti q ksih 20,5
recoment bgt😍,5
bagus..tapi kaca nya malah copot..di bukanya agak seret.,5
bgs,5
recomend,5
👍,5
