review,rating
"Saya pesan ini bukan baru, udah sering,baru x ini,merasa kecewa, lingkaran jari nya ke gedean, kenapa harus merobah ukuran jari saya,11, ini gimana,kan mubajir,ga ke pake, ",5
bagus sekali..,3
"mantap,kurir nya ramah n cepat ",5
bgus brgy mksh,5
Barang sesuai pokoknya goodlah,5
barang sudah diterima tpi kekecilan,5
"Pesanan sampai, sesuai dgn gambar.  Mantap...",5
udh ke dua kali order oke bgt,5
"paketnya udah keterima, packingannya rapih kurirenya ramah,udah langganan, pokonya puas trim lazada",5
pudar,2
