review,rating
biar foto yg nilai,5
bagus pas d jari... kurir nya aja uda langganan,5
"Toko ny gk amanah, sy pesen model apa yang dtg model bgtuan. Maaf sy kzh bntang 1.ud 2th langganan Lazada, baru kali ini kecewa",1
"mksh ,paketnya sdh sampai ,barang baguus cm kegedeaan d jari manis sy longgar di jari tengaahh sempiitt ..
kurir baik sopan n ramaah ...
mksh lazada .",5
"cicin gk sesuai yg digambar....
",3
"maaf baru kasih ulasan.
barang sudah saya terima sesuai pesanan saya sgt suka cin2nya terimakasih lazada.",5
cincinnya sih bagus.  tpi lama pengirimannya 1 minggu lebih.  tapi saya menghormati kurirnya baik banget,3
barangnya bagus,5
"tdk sesuai pesanan sy, sy psn ukuran no 5 yg dtg malah lebih bsr ukuran nya, sy sdh lama bgt langganan blanja di lazada tp knp sring x sy kcw? ",5
Mantuuullll,5
"maaf x ini sy komentar knp cincin yg sy psn beda bgt yg di gmbr ini?  ukuran nya mmg btul no,5 tp model nya GK sesuai brg yg sy psn",5
"beda sama d gambar..
pengiriman cpt.",5
"sesuai gambar..
mantul lah..
makasih lazada",5
real pict tapi bukan titanium ke gesek tembok dah ngelupas warnanya,3
"terima ksh lazada,paket ny sdh smpai dgn selamat,kurir nya juga ramah dn sopan, sukses terus lzada",5
 . cincin nya patah satu gimana sih,3
baranng ny bagus terima kasih ,5
"bagus mksh lazada
",5
kekecilan pesan size 9yang datang 7,5
sayang Ukuran besar ya ga ada,5
"mksh lazada cincin nya kegedean   padahal pesan no 6 biasanya pas .
",5
makasih lazada..barang mantap..dan sesuai pesanan..,5
biar bintang yang bicara,5
barang bagus tapi cepat pudar ga ya warnanya,5
buka staenlis stell ni kecewa banget,5
"sesuai dengan pesanan, dan tepat waktu",5
cincin kebesaran...padahal udah pilih yg paling kecil ukuran nya,5
"mf bru bls mkch lazada cincin ya keren bgt 
ga kecewa aku psn di tko ini..mkch",5
bagus banget tapi cepat lunturrrr,5
cincinnya keren..,5
bagus barang bro tetapi barang 1 ukuran saya pesan beda ukuran tuh.,5
Kuning nya mantulll kali,5
"gw pesen size 7,knp jd size 9.... oglak nyet jadinya. untung mureh",2
saya puas belanja disini..,5
barangnya bagusss alhamdulilah,5
makasih lazada dan kurir....,5
aku udah langganan blnj di sini...selalu puas dngn brng' d sini semua mantapppp ...,5
pesen no 6 yg di kirim no 9 ga ke pake jadinya,2
"mntap brngnya sy sngt puas.kurirnya baik sampai hujan2 ngnterin trimksih lazada
",4
mantull,5
