review,rating
"tasx sangat bangus mksh lazada...
saya suka...sukses terus ya",5
"Cantik banget asliny ...
Saya suka.",5
"bagus banget,,,,kulir nya jga ramah mksih lazada",5
biar bintang yg bicara. ..,5
Biar bintang yg berbicara 😍,5
barang ny sesuai dngn gmbar dn pngirimn ny cepet jg.trmksh lazada,5
"barang bagus
",5
tasny bgus bgt utk hrga yg segitu. murah tp gk murahan....,5
"realpict banget, pengiriman nya sangat cepat makasih banyak,,😊",5
ini cantik x sumpah. ga keliatan murah. dalamnya Chanel. bagus pokoknya. lembut lagi,5
"aku suka sekali warna ny

sangat lembut",5
bagus,5
"Bagus banget harga murah ,tpi kualitas ok",5
realpict,5
