review,rating
mantap barang real pick thx lazada & toko.y,5
Thanks Lazada pesanan  sudah sampai dan baranya Memuaskan sesuai dengan pesanan.,5
makasih lazada n seller ama bang kurir nya,4
oke dasi nya anakku seneng banget trimm lazada,4
"barang bagus cuma waktu pengiriman agak lama 
tpi puas sih barangnya sesuai dan rapih 😊 sukses selalu buat totko ini aminn😊",5
bagus baget barang nya gan mantaps ,5
"Hrga Murah kwalitas Gk Murahan, sprti Butik Punya.
Pengiriman Cepat ok pokonya",5
saya suka.. saya suka.  recommended,5
bagus,5
ok sesuai gambar,5
"Maaf ,telat.paket udah sampai.
Barang bagus tapi lama.",4
bagus barang nya,4
ok. sesuai sama pesenan👍👍,5
"sangat senang belanja di lazada barang bagus dan tdk mengecewakan,,sukses buat lazada.",5
"terimakasih
",5
keren. thank you,5
gud,5
Baguss 🤩,5
mantap,5
