review,rating
"makasih paketnya udh sampe cepat pengiriman juga,kirain sama serumny,semoga q cocok ya baru mau nyobain nih,kurir udh berlangganan jug ",5
maaf baru bikin ulasan biar tahu kasiatnya dulu ternyata bagus  g lengket cocok ke muka sy mksih ya udah amanah kulir baik ramah ,5
"paket sudah sampe,paking nya rapi,respon penjual cepet banget,cream teraskin nya sesuai orderan,kurir nya ramah,smua nya oke banget n bisa slalu jadi langganan,makaai🙏",5
real,5
haasilnya ok,5
"brng udah d terima cma blum di coba...mudh"" an cocok",5
Bagus bgd krimny... aq mw pesen lg ahhh,5
"m ksh barang ny sdh sampe dgn rapih, kurirny udh knl,,baik ramah,,m ksh..lazada",5
"Krimnya udh cocok bgt
",5
cremnya ko agak beda yg yg ama yg pertama sy pesen inimah agak lengket  kulir baik,5
"Udh brp x bli. Bru x ini pengiriman agak lama... Kurirnya ramah dan sopan
",5
"Udh cocok bgt ama krimnya


",5
terimakasih,5
"Alhamdulillah cream nya dah sampe semoga cocok!!!
",5
Udh dateng paket ya semoga cocok ya,5
cocok banget q pake krim ini...,5
barang bagus aku suka,5
"cakep
",5
Top bgt,5
