review,rating
terima kasih Lazada paket nya udah sampai terimakasih juga buat kurirnya yang ramah dan sopan sukses selalu lazada,5
udah sampe bang makasih banyaaaak,5
alhamdulillah brg nyampe..udh langsung pasang walau di akalin dulu di kikis pinggirnya spya masuk..buat dispenser Denpo,5
barangnya sesuai dgn keinginan...  datang tepat waktu ,5
barang & pengiriman ok banget 👍,5
"pas,,,bgs
",5
barang udah sampe terimakasih lazada.. pas corong dispenser nya,5
kekecilan buat dipenser ya,4
Corongnya pas bgt. Makasih lazada. ,5
"makasih sudah sampai,  , alhamdulillah corong nya pas dan sesuai 😊",5
"Maaf baru kasih ulasan,di tes dulu barang baru kasih ulasan hasil nya mantul",5
tidak sesuai ,1
memuaskan,5
