review,rating
"Alhamdulillah barang'y real pick sesuai gambar
aku suka😍",5
cantik......,5
baguuuuussss bgt... kurir ny jg udah langganan.. mksih lazada.. ,5
oke sesuai dompet nyah .. cantik 😍😍,5
goooood real pict,5
cantik..😘😘,5
"barangnya real pict n bagus bgd ,tebel jg...memuaskan deh..kurir nya langganan saya sopan n baik ...tks ya seller n lazada..good luck",5
👍,5
benar-benar mantap 👍 pesan untuk yang kedua kalinya tetap puas. pokoknya recomended deh. ,5
wow bagus banget dompetnya. puas dan recomended barangnya 👍,5
dompet nya baguuss sesuai gmbr',4
sesuai harga yah mksh seller ,4
"Bagussss 
pengiriman cepat
bahan tebal ",5
barang bagus sesuai pesanan. recommended,5
barang bagus sesuai pesanan. recommended,5
"bagus banget, penjual dan kurir nya ramah",5
Realpic banget dompetnya 😍,5
👍,5
👍,5
cakep poll,5
