review,rating
"alhamdulillah paket nya udah sampe,,saya puas dengan baju nya pokok nya ok..pertahanin ya kak produk nya😘
apalg abang kurir nya ramah bangeett",5
"Harga segitu udah bagusss,,👍👍 bahan halus gak kaku
warna juga sesuai pesanan
ukuran LD pas hanya saja ngatung bagian tangan dan d
panjang baju diatas mata kaki aku yg punya TB 165 BB 60 
pengiriman juga lama,, mngkin karna mau lebaran 😊
bakal order lagi kayaknya 👍👍👍",5
"paket ny mndarat dngan mulus...
Biarkan Bintang yg Berbicara...
😍😍😍😍

mksih k2,, smoga jd langganan...
& sukses trus buat olshop ny 😇😇😇...",5
"Alhamdulillah barangnya sudah nyampe,,
barangnya bagusss..
puas banget belanja disini..
kurirnya juga ramah..
terimakasih lazada",5
top bngt gamisnya😍😍😍😍,5
"barang real pict bgt, bahannya nyaman dipakai
jahitan rapi
kurirnya ramah
terima kasih",5
bagu nya bagus bngt,5
barang nya bagus kuwalitas nya jga bagus pengirimannya lumayan cepet. ,5
"baju ea lumayan bagus dengan hrga segituh,mkch lazada,mkch buat kurir ea..
",5
"baju realpick, ya walau kegedean tpi ngpp ok lh ",5
Alhamdulilah dah nyampe bajunya.mantap👍👍👍.maksih mas kurir telah mengantarkan paketnya.semoga jadi planggan yg terbaik.,5
dah dua kali beli... uwa saya suka..🤣🤣👍 tapi yang kedua kalinya. ukurannya agak kegedean dikit. walau pilihan ukurannya sama. tapi ukuran bajunya beda.,5
"kecewa sama warna yang satunya tidak sesuai , saya pesannya warna navy malah dapat yang warna hitam , sama pengen yang warna navy karena koleksi baju saya sudah kebanyakan warna hitam , tapi pengirimannya bagus 👍",3
"suka bgt sm baju ini ... recommend deh pokokx...klo ada rezeki lagi q pesan lagi. untuk tokonya dipertahankan ya kaulitasx. sekses sllu
",3
Bagus pisan 😘😘😘 warnanya lumayan bagus😊,5
"alhamdulillah barang dah datang sesuai,kalau pake ninjavanid selalu tepat,terima ksh, kurirnya dah langganan, makasih lazada moga belanja kedepan selalu menyenangkan",5
"maaf ya mb yg jualan kmrn saya udah chat baju minta yg ungu iya katanya ada 
tp yg dateng wara apa ini kuning saya kecewa 
maaf ya saya kasih bintang 3 jdnya ",3
mantul banget...terima kasih lazada,5
bagus sesuai pesanan dan kurir nya ramah..,5
gamis nya bgs,5
"bajunya real pict ,bagusssss aku sukaa😍",5
Mantap.. pertahankan kualitas nya.,5
Cakep pokok nyaaa.. ,5
Bagus modelnya sesuai gambar,5
Uhuuuuu mantap bagus bajunyaa aku suka😊,5
saya kecewa baju y k kecilan ,5
Sip....makasih...,5
bagussss mertuaku syukaa,5
Bahan nya bagus cuman agak kecewa karena bajunya ada sobek nya teliti dlu donk se blm nyirim  ,2
"trima kasih 
sesuai pesanan
👍",5
"barang realpict , bahan bagus , kurir langganan , and cck buat tinggi 163 cm  , *NEXT ORDER!*🤑🤤🍻",5
Sya kecewa warna nyh salah,5
sangat memuas kn trimaksih lazada ,5
ok suka bnget pokoknya,5
"barang udah sampai nih tapi belum di buka😁
terimakasih lazada,seller,dan kurirnya ramah",5
alhamdulilah barangnya udah sampai dan bagus  trimakasih lazada,4
baju nya bagus saya suka terimakasih lazada. ,5
"kecewa sama bahan nya,pengiriman nya juga lama banget",2
"baju ny sdh sampai , tp syng q pesan moca , yg datang navi , jd kecewa jg",5
"memuaskan 
tks seller & lazada",5
bagus banget saya suka,5
bagus banget..g nyesel dech belanja dsni...untuk kurirnya sudah langganan...makasi untuk kurirnya,5
rilpic namun bahanya gerah tapi okelah harga segitu mah mantul aku suka😍,5
"baju nya realpick , mantul 👍👍👍",5
aku suka barang nya 👌,5
Realpict saya suka,5
"barang udah di terima tapi warnanya beda ama yang di pesan.

",5
paket mendarat dengan selamat sesuai harapan semonga selalu tetap amanh dan telitu 😘😘,5
"selalu puas belanja d sini, rekomend, amanah terus ya seler, makasih lazada, makasih kurir pdahal grimis ttp d anter",5
"terimakasih lazada, pesanan nya sudah sampai bajunya sesuai pesanan",5
👍👍,5
bagus bgt dn aku suka bgt ,5
"Baru kali ini sy kecewa...udah dtangnya lama, mnta warna coklat diksih nya wrna biru...pdhal sblmnya dah chat sma penjualnya, klo gak coklat gak mau....klo barang memang lumayanlah harga segitu...tp ay ttp kecewa.....😎😎
",5
bgus,5
mantapp,5
mantap bgus baju y sesuai pesanan...,5
"bener"" real pict,, buat stok pasti banyak peminatnya, 🥰🥰",5
makasih,5
"baju nya bagus lah... tidak mengecewakan,. ",5
"alhamdulilah paketanya sdh nympe, bajunya bagus banget, pokonya gak nyesel seumur hidup saya belanja ditoko ini pokonya puassssss bangetttttt, sellernya nya amanah respon cepat, semoga tokonya semakin sukses dan diberi orderanya makin banyak, amin",5
"Bahan Nya Tebel , Bjunya bagus Bngt , Sesuai Dngn Ekspetasi , Muat Di Badan Aku , & masih aga Longgar , Cuma kepanjangan ( krna akunya Pendek Wk:v ) Pokonya Seneng Deh Belanja Di Toko Ini:) Pertahanan Kualitas nya Yaa:) Terimakasih Lazada & Kurir",5
bahan bagus jaitan rapih cuman harus d permak dkit bagian tanganya agak panjang pengiriman cukup lama hampir 2 mingguan ,3
sangat kecewa...sy pesan merah marun knpa yg datang warna pink's...terus modelnya jg ga SM seprti di gmbar,5
"Baju nya bagus bgt,,,bahan nya juga bagus...cepet lagi pengiriman nya..Abang kurir nya udah langganan .tengkyu lazada",5
"gamis nya cantik,,, cmn agak kegedean dikit,,, reseller fast respon ,,, pengiriman juga cepat,,, pertahankan kualitas,,, next bisa langganan belanja di sini ,,,recommended,,, thanks reseller thanks lazada",5
"Bahan nya bagus,, model nya juga sesuai sama di gambar.... Top, top.... Kulir baik, sopan udah langganan pula",5
"sesuai pesanan, cuma bhan.a agak pnas,sesuai harga lah, mkasih seler makasih lazada,mksih jg buat abang kurir",5
bajunya lumayan bagus dengan harga segitu. brangnya pun nympenya cepet. kurir ramah sudah berlangganan. terimakasih seller&lazada..,5
"mantep ka baru saja nyampe paket yah..  pas dibuka gak bagusss bajuuu yahh,  bahan yah tebel trus jaitan yah Bagus banget..  kaliaan harus beli d toko ini gak nyesel loh..  paket yah cepet banget lagii.. makasih lazada.. sama kulit yah udah langganan baik lagi.. 😘😘😘😘😘😘",5
alhmdulillah real pick banget ....suka bngt poko nya....trimakasih lazada gk pernah kecewa setiap belanja d lazada...kurir nya jga ramah dan udah langganan 🤗🙏,5
"cantik bingit . bahan bagus topmarkotop puas belanja di sini . thanks selalu Langanan ya . makasih makasih . 
penjual nya ramah .. 🤩🤩🥰",5
Bagus bajunya tapi sayangnya ada noda sedikit dipergelangan tangannya. Tapi gpp ttep bgus ko untuk hrg segtt. Trimksih seller&lazada,5
Maaf baru ngasih ulasan baju nya bagus sesuai dengan gambar nya poko nya puas deh... Terima kasih lazada... Maaf g smpet poto,5
"bajunya bagus trs juga adem bahannya pokoknya recommended bngt deh buat di beli. walaupun pengirimannya agak lama


",5
Bagus bangett bajunya.. gk kecewa pokok nya..!! Keren bangettttttt.. sempat ada kendala. Tp terselesaikan. Respon seller good bangett.. gk usah ragu beli di sini..!!! ,5
"gamisnya bgus ga kcewa lgi saya puas, harganya standar lgi bgus sesuai gmbrnya.kurirnya juga ramah, mksih lazada",5
"Alhamdulillah baju nya mendarat dng aman,baju nya bagus bgt sesuay lah dengan harga nya,poko nya saya suka, tolong di pertahan kan ya ka",5
ko moca nya beda sama di gambar yg dtg lbh coklat tua tdnya pgn pwrsis ky di gambar  tp ya udahlah mksh ,5
"paket nya udah saya terima alhamdulilah yahh barang nya sangat bagus bgt .. cuma jaitan d bagian tangan nya agak kurang rapih. 
bahan nya pun bagus bgt pokonya aku suka bgt dehhh ..
buat kurir pun baik,sopan,ramah, ",5
"Aku agak sedikit kecewa tuk kali ini,aku pesen warna apa yg di kirim warna apa,,ngga sesuai bgt sh,,
KECEWA 😒",3
"cakep aq syuka & pelangganku juga seneng, makasih seller, makasih lazada, kurirnya baik karna udah langganan",5
Terimakasih ya KK bajunya beneran gede Bagus suka kurirnya pun sudah biasa baik ramah terimakasih Lazada,5
"top deh...gx nyesel saya pesen baju d lajada.
walpn saya pesen marun datang nya PING...tak apa lh.kurirnya jg 👍

",5
Sesuai hrgalah..,4
barang sudah di terima dan sesuai pesanan... kurirnya langgan... 😁😁😁,5
trimakasih,5
😗😗bajunya baguus terima kasih lazada,5
