review,rating
barang sudah sampai tpi  plastik pembungkus terbuka dan kardus penyok tapi untung barang di dalamnya selamat gk ikut penyok mungkin ini kurirnya kurang hti2 ,5
"saya suka saya suka
",5
Barang sudah diterima dengan baik dan mulus...,5
"Mantap, cctv kayak asli, thx lazada.",5
barang bagus .. pengiriman cepat,5
"mantap berfungsi dengan baik
ok jg utk nakutin maling",5
pesanan sdh diterima dan sesuai dgn yg saya pesan Terimakasih Lazada juga Sallernya Semoga kalian Sukses selalu Amiin🤲,5
"mantul,meskipun pengiriman agak lama.tapi bisa di maklumi.kondisi negri yg sedang seperti ini pasti akan ada keterlambatan dalam pengiriman.barangnya bagus,berfungsi dengan baik.trimakasih ya kak",5
"Packingnya rapih, produk mendarat dgn cepat dan selamat, seller responsif, kurir ramah dan terpenting barang sesuai ekspektasi. recommended seller deh pokoknya 👌👌",5
"sdh dicoba..nyala & percis cctv beneran tp blm sy pasang, pengiriman cpt kurirnya sdh ga asing lg bro ichsan dari Lex",5
Lampu LED nyala. Coba kalo semua lampu mya nayala semua meskipun tidak terlalu terang. Tambah bagus :),5
barang ok.... thanks reseller  n lazada.. suksess slaluu y...,5
"barang bagus, sellernya juga baik,terimah kasih (Ecle)terimah kasih lazada",5
"barang nya bagus mudah""an awet
",5
"paket saya blm sampai
",5
Mantul dah...,5
"PENGIRIMAN CEPAT , TERBAIKKK . KURIR SANGAT RAMAH , SANTUN ^^ .",5
Bagus brgnya dan sangat bermanfaat buat mengecoh org yg berniat buruk.,5
joosssssssssssssssssssssdsssssssssssssssssssssssssssssssssssss,5
sesuai iklan,5
bagus baket pokok nya mau pesen lg deh😁,5
bgus bnget terimksih 🙏🏻☺️,5
jelek banget,1
ternyata mainan kirain beneran,5
"barang lumayanlah
",5
keren recomended deh 👍👍👍,5
mantul,5
mantullll,5
mantaplah,5
ok,5
bagus..,5
maantappp,5
Ok,5
mantep dah pokonya udah kaya asli,5
"real pict,,,mantap",5
"Barang mulus, mantul..",5
Terima kasih Lazada barangnya bagus mantap,5
mantulll,5
mantul,5
ok,5
bagus,5
good,5
bagus,5
Bagus,5
