review,rating
"paketnya sudah sampe walaupun dus nya agak penyok tapi secara fisik tdk ada yg cacat,,dan mudah""an barangnya bisa berfungsi dgn baik
terima kasih lazada/seller 🙏",5
harus nya bisa tapi ga bisa saya kecewa sekali,5
"barang berpungsi dengan baik
mudah mudahan awet",5
"barang nya bagus, cocok dengan nikon D5309",5
tolong di konfirmasi kembali,5
"mantul, mantap betul dah
",5
"barang berfungsi dg baik 
",5
mantap barang sudah sampai barang bagus and kurir ramah makasih lazada..,5
"cepat sampai, produk baik",5
"barang sudah sampai.terima kasih
",5
"bagus , barang berfungsi, semoga awet. thanks response juga baik",5
"Barang yg sy beli ternyata barang rusak,  dijanjiin diganti sd hari ini belum ada kabar... ",5
Bagus.tapi tolong dipercepat waktu pengiriman,5
produk bagus,5
bagys bagus barangnya,5
start aja yg bicara mantul,5
"GG
",5
"bagus,ok 
",5
Mantap,5
mantapppp,5
Bagus,5
👍👍,5
