review,rating
barang nya bagus lancar jaya pas di cobain juga. tapi sayang warna nya pesen merah pas liat barang nya wrna biru tapi ga papalah makasi lazada..,5
"paket udah mendarat, sesuai pesanan tidak ada yg cacat atau pun kurang semuanya komplit.

semoga saja awet bertahan lama...",5
"mandtab boss q... berfungsi dengan baik.... 
 RECOMEND DECH....🙏🙏👍👍👍👍👍👍👍🎇🎆🎇🎆🎇🎆🎇PUAS banget..
",5
"barang bagus, pengiriman cepat (3 hari). cuma sayang tidak sesuai harapan. adminnya bilang bisa putar video lewat usb ternyata tidak. begitupun di deskripsinya ditulis bisa putar video lewat usb. kenapa gk ditambahin kata-kata ""TAPI BOHONG"". andai ada kata-kata itu mungkin saya tidak terlalu menyesal😭",1
"kecewa DVD TDK berpungsi pas di bongkar ternyata ada yg patah bagian dudukan optik ya jdi gak bisa di pake.klw bisa mah hrus ada tanggung jwbnya dong.lain kli sy klw bli sblm sy byar mau sy cek/coba dlu lah
",5
ini ko ga bisa mengkocopi pilem yah dari cd ke pasdis di keterangn nyah bisa ko ga bisa mengcopi yah..,4
gak sesuay warna.pesan merah .datang biru 🤣 yowis g pp .kemasan rapih.kurir baik.ganteung pokonya🙏🏻🙏🏻,3
"trma ksih ya pket DVD nya sdh smpai dgn aman dan nyaman 😁
tak smpat foto tp pekingnya baik dan rapi . tak ada lecet. trma ksih😊",5
Sdh terima barang nya hanya saja kotaknya merah tp isinya biru semua hidup tp blm di cb dg CD semoga tdk ada masalah klw hanya warna tdk apalah .,5
"product yes oke,
untuk seller respon baik,walau barang sempat tertunda karena persediaan terbatas.dan untuk jasa pengiriman cepat.thank Lazada tingkatkan pelayanan agar konsumen gak lari ke toko sebelah",5
Recommended.. Pengirimannya cepet banget,5
barang tidak sesuai pesanan.. saya pesan NK-189 yg dikiri NK-178.,5
"pengiriman cepat. smpe saat ini setelah dipakai bbrpa hari masih berfungsi dengan baik, cuma berisik aja suara dvd nya. terimakasih",5
alhamdulilah barang sudah sampai ... barang nya baguuuusssss..... semoga awet... terima kasih lazada... dan terimah kasih selernya..dan terima kasih ABG kurir nyA....🙏,5
"Warna dan tipe yg dikirim tdk sesuai dengan deskripsi atau orderan.... judulnya yg penting laku !
Respon seller tentang komplain tdk ada.",1
"lancar jaya
",5
Alhamdulillah barang diterima baik dantidak rusak .Kurir yg anter sudah langganan walaupun hujan tetap dianter .,5
Saya minta merah malah dikasih biru gimana sich seller nya lain kalai harus lebih teliti,3
Kecewa bngt dvd nya rusak ga nyala trus ga bisa di pencet tombol nya. ,1
real pict bgus dvd ny..sy pengen wrna merah knp yg dteng wrna hijau,5
mantap kurirnya top lasada lanjutkan,5
ko warna nya bukan merah,5
"paket sudah saya terima dan sudah di tes bagus tidah ada cacat soal warna gk masalah, ",5
kalo barang bagus bintang juga tau ,5
oke banget nih baranh,5
"pengiriman cepat, tapi remot tidak berfungsi",3
bagus datang warna hijau,5
barang bagus kualitas bagus....berjaln dengan baik....,5
"bagus , berfungsi dengan baik, kurir ny juga ramah, thanks lazada",5
saya pilih merah yang datang kok hijau gak papa yang penting sama terima kasih lasad,5
pengiriman sangat cepat..kurir ramah..mksh lazada,5
Cakepks.... Gak kecewa lah,5
barang nya bagus.... cuma gk sesuai warna ,5
Terima kasih,5
Barang nya bagus ...tapi kebiasaan kurir nya tidak sesuai alamat udah brapa kali kaya gini,5
barang ny pecah gak kepake mati saya minta barang yg bagus mana punya sodara ,1
"barang sudah sampai..  cepat..
barang bagus, mulus, sesuai gmbar... langsung di pake... ",5
mantap,5
mantul gan,5
t,5
good ,5
