review,rating
uhh baru pertama kali pake dagi dimuka pada keangkat semua puas deh jadinyaa lama doang pengirimannya tpi gpp akoh puass,5
"saya beli 2, semua real pict,, sayangnya gak ada bonusnya seperti toko sebelah,,
tapi belum dicoba, semoga cocok
seller ok, kurir ramah",5
"belum di coba , smga mantul",5
bagus walaupun kecil tapi cocok lah ,5
barang dah datang.belum di coba gmna barangnya,4
"barang sudah diterima dgn baik,,,blm dcoba,smga cocok dgn kulit..",5
"walaupun pengirimannya agak lama,13 hari,tapi saya maklumi,karna produk ini memang betul"" dari cina dan dikirim dari cina.. untuk produknya sendiri sih harganya terjangkau,sesuai dengan pict,bikin muka jadi fresh,thanks.",5
okeee...lengkap pesanannya☺️,5
"barangx sy udah trm dgn baik,real pick. smoga cocok d sy....",5
brng sesuai,5
suka banget paketnya lgsg berasa hasilny... kulit muka jadi lebih halus.. next pasti order lagi,5
"mantap barangnya,tapi sayang cuma sedikit isinya
",5
"makasih lazada,barangnya sudah nyampe👍",5
Pengiriman nya lama banget uda 1bulan baru di kirim pesanan gw,3
bagus banget suka ,5
"Benar bagus barangnya aku udah coba.... 
Top deeh.. ",5
se,5
"kurir ok
",5
good,5
