review,rating
"sepatunya bagus,pengiriman nya jug cepet 
cuman salah warna doank 
tpi nggax pha"" yg pnting nggax salah nomer",5
"real sich smua ..
tpi sepatu nya ada sobekan di pinggir nya ..
perbaiki lagi & lebih teliti lgi ea kak ..
buat pembeli puas biiar toko makin maju ..
",3
"Alhamdulillah,  barang nya sdh sampe,  real pict, sesuai ukurannya,  walau lama menunggu,  tp gpp deh, tapi packing nya kurang rapih kk.... jdi kotak nya sampe penyok""😁, trmaksh toko,  lazada dan kurirnya. ",5
"klo jualan yg bener ea... jangan merusak kepercayaan pembeli.. sy pesen ukuran 36.. bkn pesen no nya z... itu knp pas di bawa sepatu nya di congkel biar ilang no nya biar gk ke tauan klo bkn ukuran 36.. terus di dlm nya di tempelin no 36.. ini bkn gk teliti yg jualan.. krn sengaja no 36 kosong.. mending ukuran 37 ni mah ukuran no 38... terus cp yg mau tanggung jwb.. gk ada kan..... 
",1
"terimakasih lazada ...terimakasih reseller nya juga ..brang nya puas ..Peking nya rapih ..mudah""hn cewe sya suka ..",5
Barang bagus sesuai gambar... tapi yang sangat disayangkan proses pengiriman nya sangat lama melewati dari estimasi hari pengiriman sampai2 saya harus telepon pihak customer service lazada nya,3
"baru kali ini .. beli disini salah ukuran ..
kecewa !! kalau ukuran yg diminta emang gk ada. harus nya konfirmasi dulu. Jangan asal ngirim... !!!",3
"barang Sudah Sampai... Terimakasih Kurir nya Juga Ramah...
",5
sepatunya bagus.. real pict.. tp saya pesen size 37 yg dateng size 36 tp dibarcodnya size 37.. lebih teliti lagi dong..,4
"Bagus aku suka banget real pick,tapi ada bahannya yang ndak ikut kejahit☹️",5
thanks barang sampai dg selamat. . packing rapih. .  barang bagus . . dan sesuai pict. . nggak nyesel beli . . 😍😍😍😍😍😍,5
Alhamdulillah barangnya udah nyampe sesuai pesenanku suka banget 😍 kurirnya Ramah langganan lagi .Packingnya rapi.pengirimannya cepet. makasih lazada.makasih ninja xpress. makasih zora,5
sepatu nya bagus tapi sayang kegedean saya mesen no 37 tapi itu ukuran 38!,5
Alhamdulilah paketnya dah sampe walau pun lama banget nyampenya tapi spatunya bagus kaya difoto tapi elem spatunya kurang rapat mas kulirnya juga ramah dah langganan banget pokonya maksih,5
"alhamdulillah real pick sepatu'y bgus bngett gak ada cacat sedikit pun,kurir'y juga ramah bangett, makasih lazada ",5
"makasih Zora,makasih Lazada. Sepatunya real pict hy saja agak kotor dan gk rapi. Tp suka kok sm sepatunya",4
"sepatunya kog no 40 nya kecil,nggak cukup di kaki anak saya,udah pengirimannya lama banget,begitu nyampe nggak cukup dgn ukuran kaki 😡😡😡😡",1
"Alhamdulillah barang sampe dgn selamat,sukaaak dgn harga segt barang bagus lg real pict. ngga ngecewain makasih lazada",5
"sepatunya bagus,ukurannya pas walau sedikit kaku pas di pakai,sesuai dengan harganya...terima kasih zora shoes n lazada",5
