review,rating
"barang ok,, tp tlg dong itu pak kurirnya ga sopan banget ya,, tiap kali dia yg antar paket langsung masuk aja",5
temen aku pernah beli warna nya natural gitu deh ma kulit lah ini warna nya malah gold ga cocok untuk warna kulit aku😭,4
Produk bagus..awet dipakai..kliatan halus..meskipun udh beraktifitas tp ga luntur..murah tp berkualitas..pengiriman jg cepat..trimakasi ya..,5
alhamdulillah paket mendarat dengan mulus..barangnya realfick..maaf baru kasih ulasan..pengiriman lumayan cepet kurir ramah..mkasih pokonya,5
brang dah mndrat sore tdi ka..thanks lazada,5
"barang yah udah sampe tepat waktu 
tapi sayang tuk pertama kali yah aku kecewa warna yah coklat tua
padahal aku pesen natural😥
gk sama dgn gambar ",2
"sy oesen dermacol sm eyeliner tpi kenpa datangnya hnya satu barang dibayar udh dua yg kurang satu barang eyeliner nya kok gak ada ini gimna tanggung jwb anda ngejual yg bener dong dosa tau kok barang ditrima hnya satu mana eyelinernya yg wrn hitam kok gak ada saya kan pesen dua prodak gimana nih kesellll bagettt kecewa dibayar udah astagfirullah


",1
barang dermacolnya warnanya coklat bngt tpi ya tk pakai ya bguz bngt.q sngt cuka bngt brng dri lazada.kpn2 q mau pesan lgi.,5
"knpa d kirim semua warna gelap jd gk laku d jual mlh 3 

",2
"shade natural nya secoklat ini? kirain ga bakal secoklat ini klo di pake ke muka jadi nya warna apa -,-",5
"ga sesuai sama pesanan yang datang,pesen dermacol yang datang ayelener. gimana nih. ap bisa di tuker sama yang saya pesan.",5
"nah kali ini aku agak kecewa sih...tidak sesuai pesanan..
.warnanya gelap banget...padahal aku pesan yg natural",2
"nyesel banget pesen di dini, pesen yg natural malah coklat yg d kirim, muka putih pake dermacol yg natural malah jadi item bukan gelap lagi, parahhhh...",1
emng natural no 215 kak?kok coklat banget aku kira sama dengan dgmbr...aq pengen yg agak putihan no brpa?,5
awal baru di buka cream nya bagus.pas mau make ko isi nya JD minyak aja.udh gitu cma angin isi nya😏,5
warnanya coklat banget tapi untung pelanggan ku mau ngambil,5
respon penjual ny kurang pengiriman barang saya kurang atau tidak lengkap saya sdh mengajukan pengembalian barang namun sampai skrg blm di setujui juga chat seller ny gak ada respon bagi pembeli gak usah beli di toko ini respon seller ny gak banggett ,1
ini mah lebih dari buruk.. natural apaan.. ini mah cocok bwt kulit gosong.. gimana sih jualan Modus banget..,1
"real bnget mksih kk mskpun nunggu lama tpi paket utuh, tdk rusak, tdk ancur, aman kk, mksih sekali lagi",5
"terima kasih
kurir sopan 
pengemasan cukup baik 
wlpn cuma pake plaatik aja 
",5
mksih brangny uda nyampai ini yg ketiga kaliny saya beli smoga bs berlanggann trs ya brangny jg seperti yg ini trs jgn KW.sb semua langgann sy mukany pda ginclong pke bedak DERMACOL ini  suksek trs buat lazada mksih bnyk buat kurirny baik rama sopan,5
