review,rating
"xpres bngt 😍 kmren psen eh skrng udah dateng ajh , perlak nya juga bagus puas lah👍👍👍  packing rapih, respon seler juga baik bngt, pkonya best deh 😊 mkasih seler & lazada sukses selalu..  🤗🤗🤗",5
kurir bagus,5
Alhamdulillah ... Pesanan sesuai gambar puas dech...udah gitu pengirimanya cpat paking nya juga rapi...,5
Bagusssss bgt sesuai..mksh lazada makasih mas kulir..walaupun bukan yang langganan ..tpi ramah bgt kurir.y,5
Bagus' sesuai harapan 😘 makasih,5
Top......  Karpetnya lemes....  Sy puas sy ksh bintang 5,5
realpict mkasih bnyak.😊😊😊,5
thanks seller dan lazada😍😍,5
"barang ok,, rekomended banget dech,,lembut,, pengiriman cepat",5
Mantap tidak mengecewakan🖒🖒🖒🖒🖒,5
