review,rating
saya puas bajunya bagus sesuai dngn harga emng rada ngatung dikit tapi sya tetap puas,5
Bintang yg berbicara👍🏻👍🏻👍🏻👍🏻👍🏻,5
"maaf baru kasih ulasan bajunya bagus cuma kegedean doang. abang kurirnya langganan ramah tapi sayang kemaren liat sosmed abng kurirnya meninggal krna kecelakaan, semoga husnul khotimah ya bang kurir",5
Realpict 🖤🖤🖤,5
bagus brang sesuai ....tebal lgii....mkasiih lazada..gamis ny cantik,5
"bajunya bagus, tebel, trims lazada trims pak kurir ninja yg ramah... ",5
pas ga kecewa.,5
"bajunya ok. bagus banget
aku suka😍😍😍",5
makasih lazada baju ny bagus bangat sya jdi suka . kurir ny baik poko ny oke..bangat..,5
brang ny siih bguus ank sya suka bngt cmn ..pngiriman ny jelek lma bngt ..hrusny tuh bju d pke pas hri lebaran ...eeh in 4 hri lbaran bru dteng klau ga slh sya psen tgl 9 in udh tgl 27 bru dteng🤦🤦🤦...kcau...mksiih deh buat abang kurirny ..tdi ny sya mau batalin ..tpi gajdi keplng d psen,3
"sori telat kasih ulasan,,bajunya lumayan bagus sesuai harga kurir baik",5
realpich...ank sya suka bgt..klo untuk abang kurir mah udh lnggnan yg biasa antar.,5
 bagus cma kegedean aja gk pph nanti bisa di potong ke tkng jahit yg penting baju nya bgs 👍👍👍👍,5
bajunya bagus ibuku sangt suka trimksih lazada,5
"makasih kak barang ya udah sampai,walau pun nunggu ya lama, dan trnyata kegedean tp gk ppa aku suka",5
"Barang dah sampe..realpict sesuai gambar,pengiriman tepat waktu,and makasih buat mas kurirnya...makasih lazada..bisa untuk langganan",5
bajunya bagus sesui gambar makasih lazada,5
Bajunya bagus kainya jg oke 👍👍👍,5
terimakasih..bajunya udah datang...,5
lumayan bagus,5
trima kasih baju nya dah sampe sesuay gambar kurir nya ramah trima kasih lazada,5
baju nya bagus dan cocok  bngt dan kurir nya juga baik makasih Lazada ntr aku psen lgi,5
"rokny gx sesuai sama gambarnya,di gambar roknya tuh lebar terus kek payung gitu asliny mah rata gx kek di gambar,tp untungny bahan bagus dan atasanny sesuai,udh deh lumayan",4
abarang ny dah nyampe bagus sesuai ke inginan dah cocok banget kurir ramag sopan makasig puas tuk semua pelayanan ny,5
Mantap mksh banyak yg Punya toko ini..seller ramah ..kurir ramah...pokoknya Alhamdulillah .mau pesen lg 2.mudah2n selalu Amanah,5
"baju nya lucu mnurut q cma jahitan nya sdkit kurang rapih trus bhan nya yg d lengan tu ksar n panas pas q pke udah gtu trnyta kurang panjang dkit buat q tapi yaa q suka ko cma aga kurang nyaman aja , buat abang kurir nya mkasih ya udh d antrin pket nya dgn baik",5
"bahannya mengecewakan nyesel beli di toko ini udah lamapesennya setelah Dateng kayak gini GK srrek blassss
",5
tipis jahitannya tx rapi,5
kok datengnya malah baju anak kecil mna datengnya lama....,2
Alhamdullilah real pick banget kurir nya juga langganan,5
"lmayan bwt harga sgtu. bahan'a panas agk ksar ✌️.
 pngiriman lmyan lmbat",3
makasih ya.. ,5
"aku suka bajuny
tp agak tipis susuai hargany murah
cocok cocok
trmks lazada
kurir ny ramah",1
barang ya bagus mksh lazada.,4
bgus sesuai dgn gmbar,5
"alhmdllh paket nyh udah dtng, barang bagus kemasan rapih, Terima kasih lazada, ",5
"barang nya mantap bagus bngt tpi sayang nya pengiriman nya lama 
",5
Barang bagus pengiriman cepat kurirnya langanan. Pokoknya ngak nyesel deh,5
barang nya bagus tapi atasan nya nrawang,5
kurang memuas kan,3
akhirnya datang juga stelah lama bgt nunggunya,4
"barang bagus aku suka, makasih lazada 😗",5
"brng ny dh nympe.bgz lmyan lah..
",1
maaf bru ngsh ulasan barang udah nyampe abang kurir juga baik..,5
sesuai harga pengiriman cepat mksh lazada,5
bagus suka banget,5
kecewa..dh pengirimannya lama trs pas datang barangnya g sesuai gmbar..,3
lumayan harg segitu mah,5
Baju oke bagus.aku suka😘,5
barang ny bgus kualitas bagus sesuai dengan pesanan tpi pengiriman ny agak lma,5
"brangnya udah sya trima,tapi kok tipis",5
"warnany pict.. pdhl psanny pink,. kecewa sihh",2
Good real pict,5
"Bahane panas, tipis",2
"bajunya sesuai gambar
",5
baju nya bagus cuma agak kegedean trimakasih,5
baguss sekalii,5
Bahan nya tipis,3
bajux bagus terim lazada,5
"brang bgus sesuai pesann
",5
bajunya bagus warna dan bahann . tapi blom d cobain,5
gamisnya baguuss . allhamdulilh saya suka,5
pengiriman nya lama,5
Oklah,5
Real pic,5
👍,5
bagus,5
mantap 🤗,5
B,5
cakepp..,5
