review,rating
"Maaf br ksh ulasan, gantungannya nempel kuat bgt d tembok, mw mindahin posisi smp gk bs, cantolannya jg lumayan kuat, meskipun ukuran nya mungil.. heheheee, Over all It's Okay🙏",5
"paket sdh sampe ,dan ternyata barangnya tipis ,  dan lemya ga kuat buat gantung baju 1 sj bolak balik jatuh,d gambarnya kelihatanya kokoh ternyata tdk",5
Barabg lumayan Sayang pengiriminnya hallah 3 hari padahal posisi d jakarta.  Beda ama ol shop sebelah begitu pesan malah bisa didapat besok harinya !!,3
"pesanan sdah nyampe,,,bgus,,,
terimakasih",5
Barang bagus..  2 minggu lbh baru sy terima..  Estimasi expr.. ,5
Bagus........Thanks,5
ternyata kecil banget ,5
"Bagus banget berguna pawrahhh , RECCOMEND 9/10 ",5
brg ny sesuai gambar tp syg gk bs mnempel dgn kuat...,1
"Belom. Dipake, tp keliatan ya bagus
",5
Okee,3
