review,rating
"gelangnya bagus bgt kya emas putih asli real pict pula , cmn syg sya suka slah pilih ukuran jdi kegedean 😂 tpi ga apalah over all good bkal jdi langganan toko ini nih acc nya bgus2 modelnya juga lucu2 .. mkasih seller responsif dan ramah .. 👍💓😘",5
Bagus tapi ke besran,5
cantik..... cm agak gede.... apa karna tangan saya aja yg kecil yah? suka bangeeeet...... ,5
bgus bget 👍 mudah2n awet ga cepet pudar ,5
gelang ny bagus cmn gde bngt ya model nya krrnya ramah ,5
Bintang yg mnjwb,3
"barangnya bagus,,kurirnya langganan ramah
",5
bagus bgt gelangnya,5
barangnya MANTuL..mksh lazada,5
"barang bagus, cepet sampai, kurir ramah ga kecewa blanja di toko ini",5
mantull,5
sesuai,5
