review,rating
mantap boss ORI...,5
"kualitas brg mengecewakan sy coba tombol on of krodit kadang nyala kadang tidak, kipas ga nyala. Entah alat ini berguna atau tdk.. ya klo tdk sy coba perbaiki mdh2n tdk jd barang rongsok. makasih ",1
"barang sudah diterima dan di test untuk lampu dan kipas... bagus. 
blm tau kalau untuk AC 0,5 hp low Watt kuat ga nya... 
btw.. semoga barang awet... thx lazada.... 🙏👍",5
terimakasih paket y sudah sampai dengan cepat👍👍👍,5
lumayan tapi kipas ya ga nyala si?,2
"Terimakasih Lazada,barang sesuai dg pesanan paking bgs sdh St coba & kios!
Saya puas",5
"barang bagus,cuma blm di coba mudah-mudahan awet.",5
Sangat puas mkh lajada,5
barang sudah sampai sudah di coba saya sangat puas makasih lazada,5
sdh sampai tapi blm sy pakai/blm sy coba,5
barangnya alhamdulillah memuaskan,5
"mantap,reconended,..pngiriman cpt",5
"makasih lazada,paketan sdah sampai.",5
sesuai diskripsi dan pengiriman lebih cepat,5
"Barang sudah di terima, dan berfungsi,. Tp kipas nya kok gak nyala ya?? Bagaimana solusi nya?? ",2
Barang ok sesuai pesanan.. ,2
bagus,4
mantul,5
"mantap
",5
