review,rating
"alhmdlh pesanan gordennya mendarat dengan baik, di kemas  baik & rapi ... pengiriman lebih cepat dr estimasi kurirnya ramah banget pa aulia 
next order lg sukses n makin maju buat seler plus lazada 
",5
bagus aku suka aku mau order lagi,5
"mksiih barang,y udh smpi real fic sya suka  bngt",5
hordengnya real pict mantull,5
mantullll....bsok order lg,5
alhamdulillah barangnya sudah datang sesuai gambar dan cepat,4
"Pengirimannya cepat,gordennya bgus,panjangnya jg sesuai ukuran rumah sya,cuma bhannya kurang lentur,kurang ngelipat.",5
"hordengnya bagus banget gk nyesel deh belanja di sini,barang cepat sampai,amanah,kurir ok,keseluruhan ok banget...",4
Baguuus bangeeeettt sama kya difto.pengen psen lagiii,5
Alhamdulillah bagus,5
",terima kasih lazada,barangnya sudah sampai,real pict.
terimakasih",5
brangnya bgus tapi tali nya gak ada kurang puas gk kumplitt,4
"barang ok, cuman ga
rdeng tida di pres seperti dari toko,,",5
bagus dech... ,5
"Barang bagus cuma pengiriman agak lama
",5
horden x sangat bgus,5
Bagus hordeng nyah.,5
terima kasih,5
:))))) suka🤩,5
"bagus sesui di Poto 
",5
Lumayan,5
baguss,5
