review,rating
"Alhamdulillah pesan 4 produk smua realpich
maaf hnya 3 yg kefto, krna yg 1 lg udah dluan diambil cust sya. Thanks Sellernya amanah banget respon baik. Mantap Nex order lg 👍👍👍
Buat kurirnya yg baik Thanks jg ya
smoga Lazada smakin sukses
Aamiin🤲",5
mantappp pake S.. terimakasih Lazada😊,4
"Alhamdulillah mksih paketan sudah sampai,,sangat puaaasss 🙏😊👍 ",5
"ma.af br kasih ulasan...
untuk pengiriman lumayan lama tp ok ta apa untuk kurir nya baik
N untuk barang nya bagus banget...dan no rijekc
jd semakin semangat untuk olahraga tenks Lazada..
",5
mantul,5
alhamdulilah paket nya udah dtang... cpet sekali makasih lazada...,5
sesuai tp lebih kecil dari punyaku.,5
terima kasih lazada sdh diterima brgnya..enak dipakainya,5
barang dah nyampe bagus banget n cepet banget nyampe nya top pokoknya👍👍👍,5
"Sesuai, baguss",5
"barang uda nyampe sesuai gambar, tanks lazada",5
"Barang udah nyampe, sesuai pesanan...👍👍👍
makasih...",5
"barang udah sampe,mulus pertahankan ya ka semoga selalu amanah pengiriman cepat kurirnya pun ramah",5
Barang bagus tapi pengiriman nya lama,5
"Terima kasih barang telah diterima, pengiriman juga cepat kurir nya juga ramah ",5
".barang nya bagus sesuai dgn yg di gambar, terima kasih lazada",5
"bagus...berfungsi dengan baik.semoga awet..
",5
sesuai pesanan kakk,5
real picture ,5
thank you ,5
cukup bagus utkbolah raga ringan,4
ok,5
