review,rating
lumayan bagus..langsung dipake..mudah2 an awet 👍,5
pesanan dh di terima kok statusnya msh dlm pengiriman rerus.,5
"Thx lazada barangnya susah sampai dengan cepat, packingan kurang aman tidak di bungkus dengan bubble wrap. mudah2an alatnya bisa berfungsi dengan baik. ",4
Maf baru bisa memberikan ulasan mantulll barang nya bagus berfungsi dengan baik kulir nya jg rama makasih lazada,5
bagus banget berfungsi dengan baik dan adexku suka,5
terimakasih barang sudah sampai ❤️❤️👌,5
Brg udah nyampe berfungsi dengan baik makasih😍,5
tdk panas sama sekali cuma kenceng swaranya aja kecewa,5
"paketx sdh datang....
berfungsi dgn baik👍
terima kasih lazada🙏",5
lumayan barang y bagus...puas...thnk lazada,5
unchh banget pokoknya,5
sesuai mntappp,5
bagus,5
sesuai ,5
